"Airline","Comments","Country","ICAO","Call sign"
"First City Air","","United Kingdom","MBL","FIRST CITY"
"First Flying Squadron","","United States","GGA","JAWJA"
"First Line Air","","Sierra Leone","FIR","FIRSTLINE AIR"
"First Sabre","","Mexico","FTS","FIRST SABRE"
"Fischer Air","","Czech Republic","FFR","FISCHER"
"Fischer Air Polska","","Poland","FFP","FLYING FISH"
"FitsAir","","Sri Lanka","EXV","EXPOAVIA"
"Flagship Express Services","","United States","FSX","FLAG"
"Flair Airlines","","Canada","FLE","FLAIR"
"Flamenco Airways","","United States","WAF","FLAMENCO"
"Flamingo Air","","United States","FMR","FLAMINGO AIR"
"Flamingo Air-Line","","Kazakhstan","FLN","ILIAS"
"Flash Airlines","","Egypt","FSH","FLASH"
"Fleet Requirements Air Direction Unit","","United Kingdom","BWY","BROADWAY"
"Fleetair","","South Africa","FLR","FLEETAIR"
"Flexair","","Netherlands","FXY","FLEXY"
"Flexflight","","Denmark","FXT",""
"Flight Alaska","","United States","TUD","TUNDRA"
"Flight Calibration Service","","Germany","FCK","NAV CHECKER"
"Flight Centre Victoria","","Canada","FCV","NAVAIR"
"Flight Corporation","","New Zealand","FCP","FLIGHTCORP"
"Flight Dispatch Services","","Poland","FDP",""
"Flight Express, Inc.","","United States","FLX","FLIGHT EXPRESS"
"Flight Inspection Center of the General Administration of Civil Aviation in China","","China","CFI","CHINA JET"
"Flight Inspections and Systems","","Russia","LTS","SPECAIR"
"Flight International","","United States","IVJ","INVADER JACK"
"Flight Line","","United States","MIT","MATCO"
"Flight Ops International","","United States","FOI",""
"Flight Options","","United States","OPT","OPTIONS"
"Flight Precision Limited","","United Kingdom","CLB","CALIBRATOR"
"Flight Safety Limited","","United Kingdom","FSL","FLIGHTSAFETY"
"Flight Support Sweden","","Sweden","FSU",""
"Flight Trac","","United States","CCK","CABLE CHECK"
"Flight Training Europe","","Spain","AYR","CYGNET"
"Flight West Airlines","","Australia","FWQ","UNITY"
"Flight-Ops International","","Canada","KLO","KLONDIKE"
"Flightcraft","","United States","CSK","CASCADE"
"Flightexec","","Canada","FEX","FLIGHTEXEC"
"Flightline","defunct","United Kingdom","FLT","FLIGHTLINE"
"Flightpass Limited","","United Kingdom","FPS","FLIGHTPASS"
"Flightstar Corporation","","United States","FSR","FLIGHTSTAR"
"Flightworks","Avior Technologies Operations","United States","KDZ","KUDZU"
"Flint Aviation Services","","United States","FAZ","FLINT AIR"
"Florida Air","","United States","OJY","OHJAY"
"Florida Coastal Airlines","","United States","FCL","FLORIDA COASTAL"
"Florida Department of Agriculture","","United States","FFS","FORESTRY"
"Florida Jet Service","","United States","FJS","FLORIDAJET"
"Florida West International Airways","","United States","FWL","FLO WEST"
"Flugdienst Fehlhaber","","Germany","FFG","WITCHCRAFT"
"Flugschule Basel","","Switzerland","FLU","YELLOW FLYER"
"Flugschule Eichenberger","","Switzerland","EZB","EICHENBURGER"
"Flugwerkzeuge Aviation Software","","Austria","FWZ",""
"Fly Air","","Turkey","FLM","FLY WORLD"
"Fly CI Limited","","United Kingdom","FCT","DEALER"
"Fly Europa Limited","","United Kingdom","FEE","FLY EURO"
"Fly Excellent","","Sweden","FXL","FLY EXCELLENT"
"Fly International Airways","","Tunisia","NVJ","NOUVINTER"
"Fly Jamaica Airways","","Jamaica","FJM","GREENHEARTH"
"Fly Line","","Spain","FIL","FLYLINE"
"Fly Me Sweden","","Sweden","FLY","FLYBIRD"
"Fly Wex","","Italy","IAD","FLYWEX"
"FlyAsianXpress","","Malaysia","XFA","FAX AIR"
"FlyLal","defunct","Lithuania","LIL","LITHUANIA AIR"
"FlyNordic","","Sweden","NDC","NORDIC"
"Flybaboo","","Switzerland","BBO","BABOO"
"Flybe","","United Kingdom","BEE","JERSEY"
"Flycolumbia","","Spain","FCE","FLYCOLUMBIA"
"Flycom","","Slovenia","FLO","FLYCOM"
"Flygaktiebolaget Gota Vingar","","Sweden","GVG","BLUECRAFT"
"Flyglobespan","defunct","United Kingdom","GSM","GLOBESPAN"
"Flygprestanda","","Sweden","FPA",""
"Flygtransporter I Nykoping","","Sweden","ETS","EXTRANS"
"Flyguppdraget Backamo","","Sweden","INU","INSTRUCTOR"
"Flyhy Cargo Airlines","","Thailand","FYH","FLY HIGH"
"Flying Carpet Company","","Lebanon","FCR","FLYING CARPET"
"Flying Service","","Belgium","FYG","FLYING GROUP"
"Flying-Research Aerogeophysical Center","","Russia","FGP","FLYING CENTER"
"Flylink Express","","Spain","FLK","FLYLINK"
"Flyteam Aviation","","United Kingdom","FTM","FLYTEAM"
"Focus Air","Omega Air Holdings","United States","FKS","FOCUS"
"Fokker","Flight Operations","Netherlands","FOP",""
"Fonnafly","","Norway","NOF","FONNA"
"Ford Motor Company","","United Kingdom","FOB","FORDAIR"
"Formosa Airlines","defunct","Taiwan","FOS",""
"Formula One Management","","United Kingdom","FOR","FORMULA"
"Forth and Clyde Helicopter Services","","United Kingdom","FHS","HELISCOT"
"Fortunair Canada","","Canada","FXC","AIR FUTURE"
"Forward Air International Airlines","","United States","",""
"Foster Aviation","","United States","FSA","FOSTER-AIR"
"Foster Yeoman","","United Kingdom","JFY","YEOMAN"
"Fotografia F3","","Spain","FTE","FOTOGRAFIA"
"Fly One","Alocated in 2016","Moldova","FIA","Fly One"
"Four Star Aviation / Four Star Cargo","Virgin Islands","United States","FSC","FOUR STAR"
"Four Winds Aviation","","United States","WDS","WINDS"
"Foxair","","Italy","FXR","WILDFOX"
"France Douanes","","France","FDO","FRENCH CUSTOM"
"Freebird Airlines","","Turkey","FHY","FREEBIRD AIR"
"Freedom Air","","New Zealand","FOM","FREE AIR"
"Freedom Air","Aviation Services","United States","FRE","FREEDOM"
"Freedom Air Services","","Nigeria","FFF","INTER FREEDOM"
"Freedom Airlines","ICAO Code and callsign withdrawn","United States","FRL","FREEDOM AIR"
"Freedom Airways","","Cyprus","FAS","FREEDOM AIRWAYS"
"Freeway Air","","Netherlands","FWC","FREEWAY"
"Freight Runners Express","","United States","FRG","FREIGHT RUNNERS"
"Force Aerienne Francaise","","France","FAF","FRENCH AIR FORCE"
"Aviation Legere De L'Armee De Terre","","France","FMY","FRENCH ARMY"
"France Marine Nationale","","France","FNY","FRENCH NAVY"
"Fresh Air","","Nigeria","FRR","FRESH AIR"
"Fresh Air Aviation","2015","United States","BZY","BREEZY"
"Freshaer","","United Kingdom","FAE","WILDGOOSE"
"Friendship Air Alaska","","United States","FAL","FRIENDSHIP"
"Friendship Airlines","","Uganda","FLF","FRIEND AIR"
"Froggy Corporate Aviation","","Australia","FGY",""
"Frontier Airlines","","United States","FFT","FRONTIER FLIGHT"
"Frontier Commuter","","United States","ITR","OUT BACK"
"Frontier Flying Service","","United States","FTA","FRONTIER-AIR"
"Frontier Guard","","Finland","FNG","FINNGUARD"
"Fujairah Aviation Centre","","United Arab Emirates","FUJ","FUJAIRAH"
"Fujian Airlines","","China","CFJ","FUJIAN"
"Full Express","","United States","GAX","GRAND AIRE"
"Fumigación Aérea Andaluza","","Spain","FAM","FAASA"
"Fun Flying Thai Air Service","","Thailand","FFY","FUN FLYING"
"FundaciÃ³ Rego","","Spain","ROG","REGO"
"Funtshi Aviation Service","","Democratic Republic of the Congo","FUN","FUNTSHI"
"Futura Gael","defunct","Ireland","FGL","Applewood"
"Futura International Airways","defunct","Spain","FUA","FUTURA"
"Flydubai","","UAE","FDB","SKYDUBAI"
"Flightworks","","United States","FWK",""
"Flight Line","","United States","ACT","AMERICAN CHECK"
"Fly Georgia","","Georgia","FGE","GEORGIA WING"
"Air Greenland","","Greenland Denmark","GRL","GREENLAND"
"Gemini Air Group","Allocated in 2014","United States","DBC","DIAMOND BACK"
"Gama Aviation Switzerland","","Switzerland","GCH","GAMA SWISS"
"Guangxi Beibu Gulf Airlines","","China","GBC","SPRAY"
"Gospa Air","","Mexico","GOP","GOSPA AIR"
"GMJ Air Shuttle","","United States","HGT","HIGHTECH"
"Greenlandcopter","","Denmark","GRE",""
"Germania Express","","Germany","GMQ","CORGI"
"GB Helicopters","","United Kingdom","KNM","KINGDOM"
"Global Air Crew","","Denmark","GCW","GLOBALCREW"
"Global Avia Handling","","Russia","GBH",""
"Golden Myanmar Airlines","","Myanmar","GMR","GOLDEN MYANMAR"
"G & L Aviation","","South Africa","GML","GEEANDEL"
"G5 Executive","","Switzerland","EXH","BATMAN"
"GAK/Mitchell Aero","","United States","MTA","GAK AVIATION"
"GATSA","","Mexico","GGS","GATSA"
"GB Airlink","","United States","GBX","ISLAND TIGER"
"GB Airways","","United Kingdom","GBL","GEEBEE AIRWAYS"
"GCS Air Service","","United States","GCS","GALION"
"GEC Marconi Avionics","","United Kingdom","FFU","FERRANTI"
"GECAS","","Ireland","GCC","GECAS"
"GENSA","","Brazil","GEN","GENSA-BRASIL"
"Get High","","Portugal","GET","AIR FLOW"
"GETRA","ICAO Code no longer allocated","Equatorial Guinea","GET","GETRA"
"GFW Aviation","","Australia","GFW",""
"GH Stansted Limited","","United Kingdom","GHI",""
"GMG Airlines","","Bangladesh","GMG","GMG"
"GP Express Airlines","","United States","GPE","REGIONAL EXPRESS"
"GPM Aeroservicio","","Mexico","GPR","GPM AEROSERVICIO"
"GR-Avia","","Guinea","GIB","GRAVIA"
"GST Aero Aircompany","","Kazakhstan","BMK","MURAT"
"GTA Air","","United States","GTX","BIG-DEE"
"Ga-Ma Helicoptere","","France","GAH","GAMHELICO"
"Gabon Express","","Gabon","GBE","GABEX"
"Gabon-Air-Transport","","Gabon","GRT",""
"Gacela Air Cargo","","Mexico","GIG","GACELA AIR"
"Gail Force Express","","United States","GFC","GAIL FORCE"
"Gain Jet Aviation","","Greece","GNJ","HERCULES JET"
"Galair International","","United Kingdom","SWF","GALAIR"
"Galaircervis","","Ukraine","GLS","GALS"
"Galaxy Air","","Kyrgyzstan","GAL","GALAXY"
"Galaxy Airlines","","Japan","GXY","GALAX"
"Galena Air Service","","United States","GAS","GALENA AIR SERVICE"
"Galileo International","","United States","",""
"Gama Aviation","","United Kingdom","GMA","GAMA"
"Gambia International Airlines","","Gambia","GNR","GAMBIA INTERNATIONAL"
"Gambia New Millennium Air","","Gambia","NML","NEWMILL"
"Gamisa Aviación","","Spain","GMJ","GAMISA"
"Gandalf Airlines","","Italy","GNF","Gandalf"
"Gander Aviation","","Canada","GAN","GANAIR"
"Garden State Airlines","","United States","GSA","GARDEN STATE"
"Garrison Aviation","","Canada","AHM","AIR HURON"
"Garuda Indonesia","","Indonesia","GIA","INDONESIA"
"Gatari Hutama Air Services","","Indonesia","GHS","GATARI"
"Gauteng Air Cargo","","South Africa","EGO","GAUTENG"
"Gavina","","Spain","GVN","GAVINA"
"Gazpromavia","","Russia","GZP","GAZPROMAVIA"
"Geesair","","Canada","GEE","GEESAIR"
"Gemini Air Cargo","","United States","GCO","GEMINI"
"Gendall Air","","Canada","GAB","GENDALL"
"Gendarmerie Belge","","Belgium","GDB","BELGIAN GENERMERIE"
"Gendarmie Nationale","","France","FGN","FRANCE GENDARME"
"General Aerospace","","Canada","SWK","SKYWALKER"
"General Airways","","South Africa","GWS","GENAIR"
"General Aviation","","Poland","GNZ","GONZO"
"General Aviation Flying Services","","United States","GTH","GOTHAM"
"General Aviation Terminal","","Canada","XGA",""
"General Motors","","United States","GMC","GENERAL MOTORS"
"Genex","","Belarus","GNX",""
"Geographic Air Surveys","","Canada","GSL","SURVEY-CANADA"
"Georgian Airways","","Georgia","TGZ","TAMAZI"
"Georgian Aviation Federation","","Georgia","FGA","GEORGIA FED"
"Georgian Cargo Airlines Africa","","Senegal","GGF","GEORGIAN AFRICA"
"Georgian National Airlines","","Georgia","GFG","NATIONAL"
"Great Barrier Airlines","Not ICAO allocated - GBA issued for domestic use by the Civil Aviation Authority of New Zealand","New Zealand","",""
"German Air Force","","Germany","GAF","GERMAN AIR FORCE"
"German Army","","Germany","GAM","GERMAN ARMY"
"German Navy","","Germany","GNY","GERMAN NAVY"
"German Sky Airlines","","Germany","GHY","GERMAN SKY"
"Germania","","Germany","GMI","GERMANIA"
"Germanwings","","Germany","GWI","GERMAN WINGS"
"Gerry's Dnata","","Pakistan","GDN",""
"Gesellschaft Fur Flugzieldarstellung","","Germany","GFD","KITE"
"Gestair","","Spain","GES","GESTAIR"
"Gestar","","Chile","GTR","STAR GESTAR"
"Gestión Aérea Ejecutiva","","Spain","GJT","BANJET"
"Ghadames Air Transport","","Libya","GHT",""
"Ghana Airways","","Ghana","GHA","GHANA"
"Ghana International Airlines","","Ghana","GHB","GHANA AIRLINES"
"Gibson Aviation","","United States","NTC","NIGHT CHASE"
"Global Air Charter","","United States","RPS","RESPONSE"
"Global Air Operations","","Comoros","GAG","GLOBAL AIRGROUP"
"Global Air Services Nigeria","","Nigeria","GBS","GLOBAL SERVE"
"Global Aircargo","","Bahrain","GLC",""
"Global Airways (Turks and Caicos)","","Turks and Caicos Islands","",""
"Global Airways (BSP)","","Democratic Republic of Congo","BSP",""
"Global Airways (GLB)","Air Castle Corporation","United States","GLB","GLO-AIR"
"Global Aviation Operations","","South Africa","GBB","GLOBE"
"Global Aviation and Services Group","","Libya","GAK","AVIAGROUP"
"Global Georgian Airways","","Georgia","GGZ","GLOBAL GEORGIAN"
"Global Jet Austria","","Austria","GLJ","GLOBAL AUSTRIA"
"Global Jet Corporation","","United States","NSM","THUNDERCLOUD"
"Global Jet Luxembourg","","Luxembourg","SVW","SILVER ARROWS"
"Global Sky Aircharter","","United States","GSK","GLOBAL SKY"
"Global Supply Systems","","United Kingdom","GSS","JET LIFT"
"Global System","","United States","XGS",""
"Global Weather Dynamics","","United States","XGW",""
"Global Wings","","Japan","GLW",""
"Globe Jet","","Lebanon","GJA",""
"GoAir","","India","GOW","GOAIR"
"Go One Airways","Defunct?","United Kingdom","",""
"GoJet Airlines","","United States","GJS","LINDBERGH"
"Gobierno De Guinea Ecuatorial","","Equatorial Guinea","GGE",""
"Gof-Air","","Mexico","GOF","GOF-AIR"
"Gofir","","Switzerland","GOI","SWISS HAWK"
"Gol Transportes Aéreos","Brazilian low-cost airline.","Brazil","GLO","GOL TRANSPORTE"
"Gold Belt Air Transport","defunct","Canada","GBT","GOLD BELT"
"GoldAir","","United Kingdom","GDA","AIR PARTNER"
"Goldeck-Flug","","Austria","GDK","GOLDECK FLUG"
"Golden Air","","Sweden","GAO","GOLDEN"
"Golden Airlines","","United States","GDD","GOLDEN AIRLINES"
"Golden Pacific Airlines","","United States","GPA","GOLDEN PAC"
"Golden Rule Airlines","","Kyrgyzstan","GRS","GOLDEN RULE"
"Golden Star Air Cargo","","Sudan","GLD","GOLDEN STAR"
"Goldfields Air Services","","Australia","GOS",""
"Golfe Air Quebec","","Canada","GAQ","GOLFAIR"
"Goliaf Air","","São Tomé and Príncipe","GLE","GOLIAF AIR"
"Gomel Airlines","","Belarus","GOM","GOMEL"
"Goodridge (UK) Limited","","United Kingdom","RDR","RED STAR"
"Gorkha Airlines","?ICAO","Nepal","","GORKHA AIRLINES"
"Gorlitsa Airlines","","Ukraine","GOR","GORLITSA"
"Government Flying Service","","Hong Kong SAR of China","HKG","HONGKONG GOVERNMENT"
"Government of Zambia Communications Flight","","Zambia","GRZ","COM FLIGHT"
"Grampian Flight Centre","","United Kingdom","HLD","GRANITE"
"Granada Aviación","","Spain","GAV","GRANAVI"
"Grand Aire Express","","United States","GAE","GRAND EXPRESS"
"Grand Airways","","United States","GND","GRAND VEGAS"
"Grand Canyon Airlines","","United States","CVU","CANYON VIEW"
"Grant Aviation","","United States","GUN","HOOT"
"Grantex Aviation","","United Kingdom","LMK","LANDMARK"
"Great American Airways","","United States","GRA","GREAT AMERICAN"
"Great Lakes Airlines","","United States","GLA","LAKES AIR"
"Great Lakes Airways (Uganda)","","Uganda","GLU","LAKES CARGO"
"Great Plains Airlines","","United States","GRP","GREAT PLAINS"
"Great Wall Airlines","","China","GWL","GREAT WALL"
"Great Western Air","","United States","GWA","G-W AIR"
"Hellenic Air Force","","Greece","HAF","HELLENIC AIR FORCE"
"Greek Navy","","Greece","HNA","HELLENIC NAVY"
"Griffin Aviation","","Cyprus","GFF","GRIFFIN AIR"
"Grixona","","Moldova","GXA","GRIXONA"
"Grizodubova Air Company","","Russia","GZD","GRIZODUBOVA AIR"
"Grossmann Air Service","","Austria","HTG","GROSSMANN"
"Grossmann Jet Service","","Czech Republic","GSJ","GROSSJET"
"Ground Handling Service de Mexico","","Mexico","GHV","GROUND HANDLING"
"Grup Air-Med","","Spain","GPM","GRUPOMED"
"Grupo De Aviación Ejecutiva","","Mexico","EJC","GRUPOEJECUTIVA"
"Grupo TACA","","Costa Rica","TAT","TACA-COSTARICA"
"Grupo Vuelos Mediterraneo","","Spain","VMM","VUELOS MED"
"Grupo Aéreo Monterrey","","Mexico","GMT","GRUPOMONTERREY"
"Guard Systems","","Norway","GSY","GUARD AIR"
"Guine Bissaur Airlines","","Guinea-Bissau","BSR","BISSAU AIRLINES"
"Guinea Airways","","Guinea","GIJ","GUINEA AIRWAYS"
"Guinea Cargo","","Equatorial Guinea","GNC","GUINEA CARGO"
"Guinee Airlines","defunct","Guinea","GIF","GUINEE AIRLINES"
"Guinea Ecuatorial Airlines","","Equatorial Guinea","GEA","GEASA"
"Guinee Paramount Airlines","","Guinea","GIQ","GUIPAR"
"Guizhou Airlines","","China","CGH","GUIZHOU"
"Guja","","Mexico","GUS","GUJA"
"Gujarat Airways","","India","GUJ","GUJARATAIR"
"Gulf & Caribbean Cargo / Contract Air Cargo","","United States","TSU","TRANSAUTO"
"Gulf African Airlines","","The Gambia","GUF","GULF AFRICAN"
"Gulf Air","","Oman","GFA","GULF AIR"
"Gulf Air Bahrain","","Bahrain","GBA","GULF BAHRAIN"
"Gulf Air Inc","","United States","GAT","GULF TRANS"
"Gulf Central Airlines","","United States","GCN","GULF CENTRAL"
"Gulf Flite Center","","United States","SFY","SKY FLITE"
"Gulf Pearl Air Lines","","Libya","GPC","AIR GULFPEARL"
"Gulfstream Aerospace","","United States","GLF","GULFSTREAM TEST"
"Gulfstream Airlines","","United States","GFS","GULFSTAR"
"Gulfstream International Airlines","","United States","GFT","GULF FLIGHT"
"Gull Air","","United States","GUL","GULL-AIR"
"Gum Air","","Suriname","GUM","GUM AIR"
"Guneydogu Havacilik Isletmesi","","Turkey","GDH","RISING SUN"
"Guyana Airways 2000","","","",""
"Gwyn Aviation","","United Kingdom","GWN","GWYN"
"Helix-Craft Aviation","2014","Panama","HTB","HELIX-CRAFT"
"Heli-Charter","","United Kingdom","HCK","HELI-CHARTER"
"Hunnu Air","","Mongolia","MML","TRANS MONGOLIA"
"Hamburg Airways","","Germany","HAY","HAMBURG AIRWAYS"
"Heron Luftfahrt","","Germany","HRN","HERONAIR"
"Hyperion Aviation","","Malta","HYP","HYPERION"
"Hi Fly Malta","","Malta","HFM","MOONRAKER"
"Hop!","","France","HOP","AIR HOP"
"HC Airlines","","United Kingdom","HLA","HEAVYLIFT"
"HPM Investments","","United Kingdom","HWD","FLITEWISE"
"HT Helikoptertransport","","Sweden","KTR","COPTER TRANS"
"HTA Helicopteros","","Portugal","AHT","HELIAPRA"
"Hacienda Airlines","defunct - 1957 to July 10, 1962","United States","",""
"Hadison Aviation","","United States","FMS","HADI"
"Hageland Aviation Services","","United States","HAG","HAGELAND"
"Hagondale Limited","","United Kingdom","POW","AIRNET"
"Hahn Air","","Germany","HHN","ROOSTER"
"Hainan Airlines","","China","CHH","HAINAN"
"Hainan Phoenix Information Systems","","China","",""
"Haiti Air Freight","","Haiti","HLS",""
"Haiti Ambassador Airlines","","Haiti","HAM",""
"Haiti International Air","","Haiti","HTI","HAITI INTERNATIONAL"
"Haiti International Airline","","Haiti","HRB","HAITI AIRLINE"
"Haiti National Airlines (HANA)","","Haiti","HNR","HANAIR"
"Haiti North Airline","","Haiti","HTN",""
"Haiti Trans Air","","Haiti","HTC","HAITI TRANSAIR"
"Haitian Aviation Line","","Haiti","HBC","HALISA"
"Hajvairy Airlines","","Pakistan","HAJ","HAJVAIRY"
"Hak Air","","Nigeria","HKL","HAK AIRLINE"
"Hala Air","","Sudan","HLH","HALA AIR"
"Halcyonair","","Cape Verde","HCV","CREOLE"
"Hamburg International","","Germany","HHI","HAMBURG JET"
"Hamlin Jet","","United Kingdom","HJL","BIZJET"
"Hamra Air","","United Arab Emirates","HMM","HAMRA"
"Hand D Aviation","","United States","WVA","WABASH VALLEY"
"Hangar 8","","United Kingdom","HGR","HANG"
"Hangard Aviation","","Mongolia","HGD","HANGARD"
"Hansung Airlines","","Republic of Korea","HAN","HANSUNG AIR"
"Hapag-Lloyd Express (TUIfly)","","Germany","HLX","YELLOW CAB"
"Hapagfly","TUIfly","Germany","HLF","HAPAG LLOYD"
"Harbor Airlines","","United States","HAR","HARBOR"
"Harmony Airways","","Canada","HMY","HARMONY"
"Haughey Air","","United Kingdom","NBR","NORBROOK"
"Haverfordwest Air Charter Services","","United Kingdom","PYN","POYSTON"
"Havilah Air Services","","Nigeria","HAV","HAVILAH"
"Hawaiian Airlines","","United States","HAL","HAWAIIAN"
"Hawaiian Pacific Airlines","defunct","United States","",""
"Hawk Air","","Argentina","HKR","AIR HAW"
"Hawk De Mexico","","Mexico","HMX","HAWK MEXICO"
"Hawkair","","Canada","",""
"Hawkaire","","United States","HKI","HAWKEYE"
"Hazelton Airlines","Defunct.","Australia","HZL","HAZELTON"
"Heavylift Cargo Airlines","","Australia","HVY","HEAVY CARGO"
"Heavylift International","","United Arab Emirates","HVL","HEAVYLIFT INTERNATIONAL"
"Helcopteros De Cataluna","","Spain","HDC","HELICATALUNA"
"Helenair (Barbados)","","Barbados","HCB","HELEN"
"Helenair Corporation","","Saint Lucia","HCL","HELENCORP"
"Helenia Helicopter Service","","Denmark","HHP","HELENIA"
"Heli Air Services","","Bulgaria","HLR","HELI BULGARIA"
"Heli Ambulance Team","","Austria","ALJ","ALPIN HELI"
"Heli Bernina","","Switzerland","HEB","HELIBERNINA"
"Heli France","","France","HFR","HELIFRANCE"
"Heli Hungary","","Hungary","HYH","HELIHUNGARY"
"Heli Medwest De Mexico","","Mexico","HLM","HELIMIDWEST"
"Heli Securite","","France","HLI","HELI SAINT-TROPEZ"
"Heli Trip","","Mexico","HTP","HELI TRIP"
"Heli Union Heli Prestations","","France","HLU","HELI UNION"
"Heli-Air-Monaco","","Monaco","MCM","HELI AIR"
"Heli-Holland","","Netherlands","HHE","HELI HOLLAND"
"Heli-Iberica","","Spain","HRA","ERICA"
"Heli-Iberica Fotogrametria","","Spain","HIF","HIFSA"
"Heli-Inter Guyane","","France","HIG","INTER GUYANNE"
"Heli-Link","","Switzerland","HLK","HELI-LINK"
"Heliamerica De Mexico","","Mexico","HMC","HELIAMERICA"
"Heliavia-Transporte Aéreo","","Portugal","HEA","HELIAVIA"
"Heliaviation Limited","","United Kingdom","CDY","CADDY"
"Helibravo Aviacao","","Portugal","HIB","HELIBRAVO"
"Helicap","","France","HLC","HELICAP"
"Helicentre Coventry","","United Kingdom","COV","HELICENTRE"
"Helicol","","Colombia","HEL","HELICOL"
"Helicopter","","Czech Republic","HCP","HELI CZECH"
"Helicopter & Aviation Services","","United Kingdom","JKY","JOCKEY"
"Helicopter Training & Hire","","United Kingdom","MVK","MAVRIK"
"Helicopteros Aero Personal","","Mexico","HAP","HELIPERSONAL"
"Helicopteros Agroforestal","","Chile","HAA","AGROFORESTAL"
"Helicopteros Internacionales","","Mexico","HNT","HELICOP INTER"
"Helicópteros Y Vehículos Nacionales Aéreos","","Mexico","HEN","HELINAC"
"Helicsa","","Spain","HHH","HELICSA"
"Helijet","","Canada","JBA","HELIJET"
"Helikopterdrift","","Norway","HDR","HELIDRIFT"
"Helikopterservice Euro Air","","Sweden","SCO","SWEDCOPTER"
"Heliocean","","France","OCE","HELIOCEAN"
"Helios Airways","","Cyprus","HCY","HELIOS"
"Helipistas","","Spain","HLP","HELIPISTAS"
"Heliportugal","","Portugal","HPL","HELIPORTUGAL"
"Heliservicio Campeche","","Mexico","HEC","HELICAMPECHE"
"Helisul","","Portugal","HSU","HELIS"
"Heliswiss","","Switzerland","HSI","HELISWISS"
"Helitafe","","Mexico","HLT","HELITAFE"
"Helitalia","","Italy","HIT","HELITALIA"
"Helitaxi Ofavi","","Mexico","OFA","OFAVI"
"Helitours","","Sri Lanka","HLT","HELITOURS"
"Helitrans","","Norway","HTA","SCANBIRD"
"Helitrans Air Service","","United States","HTS","HELITRANS"
"Heliworks","","Chile","HLW","HELIWORKS"
"Hellas Jet","ceased operation in 2010","Greece","HEJ","HELLAS JET"
"Hello","","Switzerland","FHE","FLYHELLO"
"Helog","","Switzerland","HLG","HELOG"
"Helvetic Airways","","Switzerland","OAW","HELVETIC"
"Hemus Air","","Bulgaria","HMS","HEMUS AIR"
"Henebury Aviation","","Australia","HAC",""
"Heritage Flight (Valley Air Services)","","United States","SSH","SNOWSHOE"
"Herman's Markair Express","","United States","MRX","SPEEDMARK"
"Heritage Aviation Developments","","United Kingdom","HED","FLAPJACK"
"Hewa Bora Airways","","Democratic Republic of the Congo","ALX","ALLCONGO"
"Hex'Air","","France","HER","HEX AIRLINE"
"Hi-Jet Helicopter Services","","Suriname","HHS","HIJET"
"Hi Fly","","Portugal","HFY","SKY FLYER"
"High-Line Airways","","Canada","HLB","HIGH-LINE"
"Highland Airways","","United Kingdom","HWY","HIWAY"
"Hispánica de Aviación","","Spain","HSH","HASA"
"Hispaniola Airways","","Dominican Republic","HIS","HISPANIOLA"
"Hogan Air","","United States","HGA","HOGAN AIR"
"Hokkaido Air System","","Japan","NTH","NORTH AIR"
"Hokuriki-Koukuu Company","","Japan","ABH",""
"Hola Airlines","","Spain","HOA","HOLA"
"Holding International Group","","Mexico","HIN","HOLDING GROUP"
"Holiday Airlines","","United States","HOL","HOLIDAY"
"Holidays Czech Airlines","","Czech Republic","HCC","CZECH HOLIDAYS"
"Holstenair Lubeck","","Germany","HTR","HOLSTEN"
"Homac Aviation","","Luxembourg","HMV","HOMAC"
"Honduras Airlines","","Honduras","HAS","HONDURAS AIR"
"Hong Kong Airlines","","Hong Kong","CRK","BAUHINIA"
"Hong Kong Express Airways","","Hong Kong","HKE","HONGKONG SHUTTLE"
"Honiara Cargo Express","","Solomon Islands","HEX","HONIARA CARGO"
"Hop-A-Jet","","United States","HPJ","HOPA-JET"
"Hope Air","","Canada","","HOPE AIR"
"Horizon Air","","United States","QXE","HORIZON AIR"
"Horizon Air Service","","United States","KOK","KOKO"
"Horizon Air for Transport and Training","","Libya","HSM","ALOFUKAIR"
"Horizon Air-Taxi","","Switzerland","HOR","HORIZON"
"Horizon Airlines","defunct","Australia","HZA","HORIZON"
"Horizon Plus","","Bangladesh","HPS","HORIZON PLUS"
"Horizons Unlimited","","United States","HUD","HUD"
"Horizontes Aéreos","","Mexico","HOZ","HORIZONTES AEREOS"
"Hoteles Dinamicos","","Mexico","HDI","DINAMICOS"
"Houston Helicopters","","United States","HHO","HOUSTON HELI"
"Houston Jet Services","","Austria","GGV","GREGG AIR"
"Hozu-Avia","","Kazakhstan","OZU","HOZAVIA"
"Hub Airlines","","United States","HUB","HUB"
"Huessler Air Service","","United States","HUS","HUESSLER"
"Hughes Aircraft Company","","United States","GMH","HUGHES EXPRESS"
"Hummingbird Helicopter Service","","United States","WHR","WHIRLEYBIRD"
"Hunair Hungarian Airlines","","Hungary","HUV","SILVER EAGLE"
"Hungarian Air Force","","Hungary","HUF","HUNGARIAN AIRFORCE"
"Hyack Air","","Canada","HYA","HYACK"
"Hydro Air Flight Operations","","South Africa","HYC","HYDRO CARGO"
"Hydro-Québec","","Canada","HYD","HYDRO"
"Héli Sécurité Helicopter Airlines","","France","",""
"Hawker Beechcraft","","United States","HKB","CLASSIC"
