"Products / Solutions","Sector","Notes","Name"
"Contact center desktop and process optimization solutions","Software","","Jacada Ltd."
"","Biopharmaceuticals","","Kamada Ltd."
"Inkjet printers for the garment and apparel decorating industry","Printing","","Kornit Digital"
"","Biotech","","Macrocure Ltd"
"","Security Systems","","Magal Security Systems"
"VoIP solutions","Networking & communication","Formerly VocalTec Communications Ltd.","magicJack VocalTec Ltd."
"","Software","Dual listed on TASE","Magic Software Enterprises Ltd."
"","Medical equipment","Dual listed on TASE","Mazor Robotics"
"Minimally invasive endosurgical tools","Medical equipment","Dual listed on TASE","Medigus Ltd."
"","Biotech","","Mediwound Ltd"
"InfiniBand","Semiconductors","Dual listed on TASE","Mellanox Technologies, Ltd."
"","Networking & communication","","MER Telemanagement Solutions Ltd."
"","Defense","","Micronet Enertec Technologies Inc"
"Billing solutions","Networking & communication","","Mind CTI Ltd."
"","Wireless technology","","m-Wise, Inc."
"Digital printers for Printed circuit boards","Printing","","Nano Dimension Ltd."
"","Alternative Energy","","NexGen Biofuels Ltd."
"","Networking & communication","Dual listed on TASE","NICE Systems Limited"
"","Industrial equipment","Dual listed on TASE","Nova Measuring Instruments Ltd."
"Smart card technology","Security Systems","","On Track Innovations Ltd"
"Internet protocol television (IPTV)","Networking & communication","","Optibase Ltd."
"Oral insulin capsule","Pharmaceuticals","","Oramed Pharmaceuticals, Inc."
"Automated optical inspection solutions","Industrial equipment","","Orbotech Ltd."
"","Networking & communication","Dual listed on TASE","Orckit Communications, Limited"
"","Biotech","","OrganiTECH USA, Inc."
"","Communication services","Dual listed on TASE","Partner Communications Company Ltd."
"","Software","Dual listed on TASE","Perion Network Ltd."
"Generic pharmaceutical products","Pharmaceuticals","Dual listed on TASE","Perrigo Company"
"Stem cell therapeutic products","Biotech","Dual listed on TASE","Pluristem Therapeutics Inc."
"Automatic vehicle location","Security services","Dual listed on TASE","Pointer Telocation Ltd."
"","Biotech","Dual listed on TASE","PROLOR Biotech, Inc."
"","Aerospace","","RADA Electronic Industries Ltd."
"","Networking & communication","Part of the RAD Group","Radcom Ltd."
"Load testing tool WebLOAD for web and mobile applications","Software","","RadView Software Ltd."
"","Networking & communication","Part of the RAD Group","RADVision Ltd."
"","Networking & communication","Part of the RAD Group","Radware Ltd."
"","Medical equipment","","ReWalk"
"","Networking & communication","Part of the RAD Group","RiT Technologies Ltd."
"","Biotech","","Rosetta Genomics"
"","Digital media services","","RR Media Ltd."
"","Software","Dual listed on TASE","Sapiens International Corporation N.V."
"","Networking & communication","Part of the RAD Group","Silicom Ltd"
"Carbonation systems","Food and beverage","","Sodastream International"
"Photovoltaic systems","Renewable energy","","SolarEdge"
"","Security Systems","","Supercom Ltd"
"","Medical equipment","","Syneron Medical Ltd."
"Environmental control systems","Defense","Dual listed on TASE","TAT Technologies Ltd."
"","Holding Company","","Technoprises Ltd."
"Apparel manufacturing","Manufacturing","","Tefron Ltd."
"","Biotech","","Tikcro Technologies, Ltd."
"","Biotech","","Tissera Inc."
"","Software","","Top Image Systems, Ltd."
"","Semiconductors","Dual listed on TASE","Tower Semiconductor Ltd."
"Data and access control","IT Security","","Varonis Systems"
"VoIP solutions","Networking & communication","","Veraz Networks"
"","Networking & communication","","Verint Systems Inc."
"","Internet","","Wix.com"
"","Biotech","","XTL Biopharmaceuticals Ltd."
"","Oil Exploration","","Zion Oil & Gas, Inc."
