"SUV","Manufacturer","Years Produced"
"Saab 9-7X","Saab","2005–2009"
"Saab 9-4X","Saab","2011"
"Santana 300/350","Santana","1999–2009"
"Santana PS-10","Santana","2002–2007"
"Saturn Vue","Saturn","2001–2009"
"Saturn Outlook","Saturn","2006–2010"
"Renault 4 Plein-Air","Sinpar/ Renault","1961–1980"
"Skoda type 973 Babeta","Škoda","1952–1956"
"Sovamag TS10","Sovamag","1984–2005"
"SsangYong Musso","SsangYong","1993–2005"
"Stoewer R180 Special/R200/typ 40","Stoewer","1936–1943"
"Suzuki Sidekick","Suzuki","1988–1998"
"Suzuki X-90","Suzuki","1995–1997"
"Suzuki XL7","Suzuki","1998–2009"
"Matrix","Toyota","2002–2013"
"UAZ-3160","UAZ","1997–2004"
"UAZ Simbir","UAZ","2000–2005"
"Volkswagen Iltis","Volkswagen","1974–1988"
"Volvo PV800 Series","Volvo","1944–1946"
"Volvo TP21","Volvo","1953–1958"
"Willys MA","Willys","1940–1941"
"Willys MB","Willys","1941–1945"
"Willys CJ","Willys","1944–1964"
"Willys Jeep Station Wagon","Willys","1946–1965"
"Willys-Overland Jeepster","Willys","1948–1950"
"Willys M38","Willys","1949–1952"
"Willys M38A1","Willys","1952–1971"
