id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website,label
154821,53374,intuit,usa,$111.95 b,,,,,,,,$398.54,,,,intuit,usa,,1983,,technology software and it software products,,suzanne nora johnson,12726 million usd,,,,,,1
159193,22767,kelly services,usa,$0.65 b,,,,,,,,$17.44,,,,kelly services,usa,$0.57 b,,,,,,,,$15.29,,,,1
45216,3617,anhui honglu steel construction(group) co. ltd,,,,,,,,,,,,,httpwww.honglu.com,anhui honglu steel construction(group) co. ltd,china,4.409 billion usd,,,,,,,,,,,,1
167636,17139,astra microwave,india,$0.30 b,,,,,,,,$3.46,,,,astra microwave,india,,,,,,,,,3,,,,1
122447,1463,10x genomics,,,,1148,,,serge saxonov,,,,,,,10x genomics,usa,19.507 billion usd,,,,,john r. stuelpnagel d.v.m,,,,,,,1
148501,49707,razorpay,india,,,,fintech,,,,,,bengaluru,,,razorpay,,,,,,,harshil mathur,,,,,,httpsrazorpay.com,1
167372,102794,pepgen,usa,$0.40 b,,,,,,,,$17.29,,,,pepgen,usa,$0.33 b,,,,,,,,$14.07,,,,1
128085,7101,press metal bhd,,,,,,,,,,,,,,press metal bhd,malaysia,1.723 billion usd,,,,,,,,,,,,1
55261,1971,berry global group,usa,,1967,,consumer cyclical plastics plastic products consumer non durables packaging,,not found,13850 million usd,,,,,,berry global group,usa,9.088 billion usd,,,,,,,,,,,,1
151439,135446,delta electronics,taiwan,26.61 billion usd,1971.0,80000,,,ping zheng,,,,,,,delta electronics,,,1992 31 yrs old,,electronics manufacturing,,,,,,,,,1
149705,64164,china mobile,,hk$1.091 trillion,,449934,,,mr. xin dong,,,,,,,china mobile,hong kong,,,,,,,$131.49 b,,,,,,1
151216,53887,otis worldwide corporation,usa,36.13 billion usd,1853.0,70000,,,,,,,,,,otis worldwide corporation,usa,,1853,,industries heavy machinery industry machinery building products and equipment,,judy marks,14298 million usd,,,,,,1
66747,66049,shopify,,,founded 2006,employees 10000,,,ceo mr. tobias laa14tke,,,,,,,shopify,,,2006.0,,it internet software services,,,$4.6b,,,,,,1
65404,26418,abb,,,1883.0,,conglomerates,,,$28.9b,,,,,,abb,switzerland,$57.93 b,,,,,,,,$30.90,,,,1
110302,96139,verizon communications inc.,united states,$216.68 b,october 7 1983,118400,telecom services,communication services,mr. hans e. vestberg,,vz,,,,,verizon communications inc.,united states,$216.68 b,,,telecom services,communication services,,,vz,,,,,1
123071,98950,autoliv,,,,61000,,,,,,,,,,autoliv,sweden,$6.98 b,,,,,,,,$80.41,,,,1
162230,11794,maersk,denmark,$38.90 b,,,,,,,,$2124,,,,maersk,denmark,,,,,,,,,2135,,,,1
152814,52895,hochtief,germany,$4.77 b,,,,,,,,$63.47,,,,hochtief,germany,,,46644,,industries,,23579 million usd,,,,,,1
61553,49882,vroom,usa,,2013,,not found,,not found,not found,,,,,,vroom,,,,1442,,,,,,,,,httpswww.vroom.com,1
124580,52963,netcompany group a/s,,,,,,,,,,,,,,netcompany group a/s,denmark,,,,,technology,,537 million usd,,,,,,1
57812,20408,national vision holdings,usa,,1990,,consumer cyclical healthcare products retail,,not found,2079 million usd,,,,,,national vision holdings,usa,$3.16 b,,,,,,,,$40.11,,,,1
170775,96861,baoshan iron & steel co. ltd,china,$23.59 b,,,steel,basic materials,,,600019,,,,,baoshan iron & steel co. ltd,china,$23.59 b,,,steel,basic materials,,,600019,,,,,1
157613,18300,the9,china,$38.08 m,,,,,,,,$1.50,,,,the9,china,,,,,,,,,1,,,,1
94739,88040,computer programs and systems,,$0.41 b,,2.4,,,,$0.31 b,,$28.89,,,,computer programs and systems,usa,,,,,,,,,$28.89,,,,1
96891,90962,genmab a/s,denmark,$22.83 b,,,biotechnology,healthcare,,,gmab,,,,,genmab a/s,denmark,,,,,healthcare,,,gmab,,,,,1
133696,98385,indusind bank,,,1994 29 yrs old,,banking,,,,,,,,,indusind bank,india,$11.69 b,,,,,,,,$15.08,,,,1
154805,64191,mitsubishi ufj financial,japan,$95.05 b,,,,,,,,$7.39,,,,mitsubishi ufj financial,japan,,,,,,,$48.28 b,,,,,,1
157130,115468,triple flag precious metals,canada,$2.12 b,,,,,,,,$13.62,,,,triple flag precious metals,canada,$2.14 b,,,,,,,,$13.80,,,,1
166552,87117,innoviva,usa,$0.90 b,,,,,,,,$13.02,,,,innoviva,usa,,,,,,,,,$13.37,,,,1
41448,9856,mortgage advice bureau (holdings),,,,,,,,,,,,,httpswww.mortgageadvicebureau.com,mortgage advice bureau (holdings),uk,1.056 billion usd,,,,,,,,,,,,1
55713,34024,american campus communities,usa,,1993,,real estate consumer services property investments,,not found,870 million usd,,,,,,american campus communities,,,,3006,,,,,,,,,httpswww.americancampus.com,1
170719,108233,axis bank ltd,india,$25.54 b,,,banks,financials,,,axisbank,,,,,axis bank ltd,,$34.8b,,85815,financial services,,,$11.7b,,,,bombay dyeing mills compound pandurang budhkar marg worli mumbai 400025,www.axisbank.com,1
111691,99460,hyundai glovis,south korea,$5.41 b,,,,,,,,$144.27,,,,hyundai glovis,s. korea,$4.94 b,,,,,,,,$131.81,,,,1
94654,88640,agilethought,,$0.20 b,,2.608,,,,$0.17 b,,$4.20,,,,agilethought,usa,,,,,,,,,$4.20,,,,1
126985,115249,tokai carbon,,,,3714,,,,,,,,,,tokai carbon,japan,$1.76 b,,,,,,,,$8.28,,,,1
121091,52304,volkswagen,,,,662575,,,herbert diess,,,,,,,volkswagen,germany,,,662575,,consumer cyclical,herbert diess,250120 million usd,,,,,,1
33430,12670,nisource,,,,7342,,,,,,,,,httpswww.nisource.com,nisource,usa,,,,,,,,,28,,,,1
147612,92085,sdv international logistics,,,1885,,industrials,delivery services,,,,,,,,sdv international logistics,,,1885,,industrials,delivery services,,,,,,,,1
50337,8736,heartland express,,,,4050,,,,,,,,,httpswww.heartlandexpress.com,heartland express,usa,1.386 billion usd,,,,,,,,,,,,1
138975,138959,sadhu forging,,,1976 47 yrs old,,industrial machinery,,,,,,,,,sadhu forging,,,1976 47 yrs old,,industrial machinery,,,,,,,,,1
25018,13354,grupo simec,mexico,$5.35 b,,,,,,,,$31.01,,,,grupo simec,mexico,,,,,,,,,37,,,,1
33018,12591,teleflex,,,,14000,,,liam kelly,,,,,,httpswww.teleflex.com,teleflex,usa,,,,,,,,,258,,,,1
48720,38706,health catalyst,,,,1200,,,,,,,,,httpswww.healthcatalyst.com,health catalyst,,,,1200,,,,,,,,,httpswww.healthcatalyst.com,1
59640,37962,herald investment trust,uk,,1994,,investments asset management,,not found,331 million usd,,,,,,herald investment trust,,,,,,,,,,,,,httpswww.heralduk.com,1
188386,70549,"servicenow, inc.",,$107.99 billion,,16881,,,mr. william r. mcdermott,,,,,,,"servicenow, inc.",,,2003,16881 1 xa0dec 2021,enterprise software,,,us$ 5.9 billion 2021 1,,,,,www .servicenow .com,1
59632,20577,blue dart express,india,,1983,,industries courier transportation logistics,,not found,552 million usd,,,,,,blue dart express,india,$2.16 b,,,,,,,,$91.24,,,,1
57476,35798,pt bank permata tbk,indonesia,,1954,,financial services banking services,,not found,663 million usd,,,,,,pt bank permata tbk,,,,7806,,,,,,,,,httpswww.permatabank.com,1
101091,15438,grosvenor capital management,usa,$1.59 b,,,,,,,,$8.55,,,,grosvenor capital management,usa,,,,,,,,,8,,,,1
133288,20292,k+s,germany,,1889,10711,chemicals,,burkhard lohr,$3.8b,,,,,,k+s,germany,$3.87 b,,,,,,,,$19.97,,,,1
121798,71288,southwest airlines,,,,55100,,,robert e jordan,,,,,,,southwest airlines,united states,$27.77 b,,,,,,,,,,,,1
61659,8384,beijing urban-rural commercial (group),china,,not found,,consumer cyclical retail super markets,,not found,not found,,,,,,beijing urban-rural commercial (group),china,0.900 billion usd,,,,,,,,,,,,1
121805,63721,national bank of canada,,,,26920,,,laurent ferreira,,,,,,,national bank of canada,,,,,,,,,,,,,,1
125912,85185,bim birlesik magazalar,,,,60663,,,,,,,,,,bim birlesik magazalar,turkey,,,,,,,,,$6.75,,,,1
86502,38335,bajaj electricals,india,,,,,,,,,$14.18,,,,bajaj electricals,,,,3007,,,,,,,,,httpswww.bajajelectricals.com,1
86812,40433,afya,brazil,,,,,,,,,$14.54,,,,afya,,,,,,,,,,,,,httpswww.afya.com.br,1
181714,46998,sembcorp industries ltd,,s$4.87 billion,,5426,,,mr. kim yin wong,,,,,,,sembcorp industries ltd,,,,4500,,,,,,,,,httpswww.sembcorp.comen,1
55094,33406,minebeamitsumi,japan,,1951,,technology electronics capital goods,,not found,8203 million usd,,,,,,minebeamitsumi,,,,87401,,,,,,,,,httpswww.minebeamitsumi.com,1
111680,13456,ionis pharmaceuticals,usa,$5.78 b,,,,,,,,$40.76,,,,ionis pharmaceuticals,usa,,,,,,,,,41,,,,1
29412,28953,peter kenkel,germany,,2003,15,technology,,,2.30,,,,,,peter kenkel,germany,,2006,15,technology,,,2.5,,,,,,1
83709,54964,britannia industries,india,,,,,,,,,$53.04,,,,britannia industries,india,,1892,,consumer defensive fmcg food and beverage food products package foods,,not found,1745 million usd,,,,,,1
159228,130700,orient electric,india,$0.68 b,,,,,,,,$3.22,,,,orient electric,,,,,,,,,,,,,,1
111943,100957,xpel,usa,$1.97 b,,,,,,,,$71.61,,,,xpel,usa,$1.76 b,,,,,,,,$63.81,,,,1
74420,64896,abu dhabi commercial bank,,,,,,,,,,,,,,abu dhabi commercial bank,united arab emirates,,,,,,,$4.23 b,,,,,,1
95248,58011,apollo medical holdings,,$1.63 b,,1.133,,,,$1.03 b,,$35.90,,,,apollo medical holdings,usa,,1985,,healthcare consumer services professional services hospitals,,not found,767 million usd,,,,,,1
153450,20151,indian railway finance,india,$5.32 b,,,,,,,,$0.41,,,,indian railway finance,india,$5.10 b,,,,,,,,$0.39,,,,1
84783,13592,eagle materials,usa,,,,,,,,,$144.19,,,,eagle materials,usa,,,,,,,,,143,,,,1
185681,74771,next fifteen communications group plc,,£1.23 billion,,2077,,,mr. timothy john bruce dyson,,,,,,,next fifteen communications group plc,united kingdom,,,,advertising agencies,communication services,,,,,,,,1
148220,26532,anheuser-busch inbev,,,2008,,consumer goods,brewers,,,,,,,,anheuser-busch inbev,belgium,$118.60 b,,,,,,,,$59.35,,,,1
49144,7549,daido steel,,,,13436,,,,,,,,,httpswww.daido.co.jpen,daido steel,japan,1.951 billion usd,,,,,,,,,,,,1
160179,73385,esyen,italy,,2011,25.0,,technology,,3868940,,,,,,esyen,italy,,2011,,,technology,,3868940,,,,,,1
94638,24217,esco technologies,,$2.44 b,,2.7,,,,$0.85 b,,$94.30,,,,esco technologies,usa,$2.40 b,,,,,,,,$93.02,,,,1
83706,25657,akzonobel,netherlands,,,,,,,,,$74.05,,,,akzonobel,netherlands,$11.73 b,,,,,,,,$67.97,,,,1
66604,31636,broadcom,,,founded 1961,employees 20000,,,ceo mr. hock e. tan,,,,,,,broadcom,,,,20000,,,hock e. tan,,,,,,httpswww.broadcom.com,1
86434,20626,hph trust (hutchison port),singapore,,,,,,,,,$0.20,,,,hph trust (hutchison port),singapore,$1.70 b,,,,,,,,$0.20,,,,1
94866,82589,prologis,,$112.52 b,,2.053,,,,$5.49 b,,$121.90,,,,prologis,usa,,,,,,,,,$121.90,,,,1
131587,10603,mrv engenharia e participacoes,,,,,,,,,,,,,,mrv engenharia e participacoes,brazil,1.256 billion usd,,,,,,,,,,,,1
59537,15356,cargojet,canada,,2002,,industries logistics freight transport,,not found,582 million usd,,,,,,cargojet,canada,,,,,,,,,91,,,,1
167575,88296,siyaram silk mills,india,$0.32 b,,,,,,,,$6.98,,,,siyaram silk mills,india,,,,,,,,,$6.70,,,,1
144020,39868,wtoip,china,,none,,internet software services,,,,,,guangzhou,,,wtoip,,,,,,,,,,,,,,1
90240,11434,royal bank of canada,canada,,,,,financials,,,ry,,,,,royal bank of canada,canada,,,,,,,,,97,,,,1
37037,5442,activia properties,,,,,,,,,,,,,httpswww.activiareit.co.jp,activia properties,japan,3.242 billion usd,,,,,,,,,,,,1
151056,11790,muyuan foods,china,46.40 billion usd,1992.0,50319,,,,,,,,,,muyuan foods,china,,,,,,,,,7,,,,1
169186,96272,"hca healthcare, inc.",united states,,,,medical care facilities,healthcare,,,hca,,,,,"hca healthcare, inc.",united states,$82.60 b,,,medical care facilities,healthcare,,,hca,,,,,1
85245,57688,insight enterprises,usa,,,,,,,,,$111.10,,,,insight enterprises,usa,,1988,,technology consumer services software and it,,not found,9436 million usd,,,,,,1
162414,97699,astellas pharma,japan,$27.70 b,,,,,,,,$15.16,,,,astellas pharma,japan,$29.04 b,,,,,,,,$15.90,,,,1
34679,3080,msa safety,,,,4800,,,,,,,,,httpswww.msasafety.com,msa safety,usa,6.382 billion usd,,,,,,,,,,,,1
128619,60908,kiatnakin bank public company,,,,,,,,,,,,,,kiatnakin bank public company,thailand,,not found,,financial services banking services,,not found,629 million usd,,,,,,1
169557,54098,hess corporation,united states,,,,oil gas ep,energy,,,hes,,,,,hess corporation,usa,,1933,,energy oil and gas natural gas generation petroleum petrochemicals chemicals,,john b. hess,7473 million usd,,,,,,1
62807,9537,guangdong topstar technology,china,,not found,,industries industry machinery,,not found,not found,,,,,,guangdong topstar technology,china,1.388 billion usd,,,,,,,,,,,,1
110709,64559,keurig dr pepper,usa,$54.86 b,,,,,,,,$38.74,,,,keurig dr pepper,united states,,,,,,,$12.68 b,,,,,,1
128009,48628,superior plus,,,,,,,,,,,,,,superior plus,,,,,,,,,,,,,httpwww.superiorplus.com,1
41703,31703,unilever group,,,,149000,,,alan jope,,,,,,httpswww.unilever.com,unilever group,,,,149000,,,alan jope,,,,,,httpswww.unilever.com,1
97762,71131,fujitsu,japan,$26.07 b,,,,,,,,$133.94,,,,fujitsu,japan,$29.14 b,,,,,,,,,,,,1
153996,84248,agc,japan,$7.78 b,,,,,,,,$35.15,,,,agc,japan,,,,,,,,,$34.53,,,,1
167565,102927,wheels up,usa,$0.32 b,,,,,,,,$1.33,,,,wheels up,usa,$0.28 b,,,,,,,,$1.14,,,,1
103737,89242,imperial petroleum,greece,$57.1 m,,,,,,,,$0.30,,,,imperial petroleum,greece,,,,,,,,,$0.27,,,,1
61532,49860,sumo logic,usa,,2010,,artificial intelligence analytics technology,,not found,not found,,,,,,sumo logic,,,,759,,,,,,,,,httpswww.sumologic.com,1
113980,87915,akouos,usa,$0.49 b,,,,,,,,$13.29,,,,akouos,usa,,,,,,,,,$13.29,,,,1
74238,71238,illinois tool works,,,,,,,,,,,,,,illinois tool works,united states,$63.42 b,,,,,,,,,,,,1
83120,42165,bajaj finserv,india,,,,,,,,,$17.03,,,,bajaj finserv,,,,26969,,,sanjiv bajaj,,,,,,httpswww.bajajfinserv.in,1
110980,32217,kroger,usa,$34.05 b,,,,,,,,$47.57,,,,kroger,,,,465000,,,rodney mcmullen,,,,,,httpswww.thekrogerco.com,1
132708,71700,alcon,switzerland,,1945,24389,health care equipment services,,david j. endicott,$8.3b,,,,,,alcon,switzerland,$38.47 b,,,,,,,,,,,,1
64262,134,glaxosmithkline,united kingdom,,,,,,,$46.92 b,,,,,,glaxosmithkline,uk,102.500 billion usd,,,,,,,,,,,,1
107891,19115,fifth third bancorp,,$22.5b,,19119,financial services,,,$8.3b,,,,38 fountain square plaza cincinnati ohio 45263,www.53.com,fifth third bancorp,united states,$30.46 billion,june 17 1858,19112,banks,financials,mr. gregory d. carmichael,,,,,,,1
97297,71109,waste management,usa,$68.36 b,,,,,,,,$166.54,,,,waste management,canada,$65.39 b,,,,,,,,,,,,1
88348,22303,tidewater renewables,canada,,,,,,,,,$8.51,,,,tidewater renewables,canada,$0.30 b,,,,,,,,$8.86,,,,1
162473,154644,goodman group,australia,$25.14 b,,,,,,,,$13.37,,,,goodman group,australia,$25.00 b,,,,,,,,$13.29,,,,1
156459,112049,origin bancorp,usa,$1.17 b,,,,,,,,$38.25,,,,origin bancorp,usa,$1.17 b,,,,,,,,$38.24,,,,1
87199,61904,healthcare services group,usa,,,,,,,,,$13.77,,,,healthcare services group,usa,,not found,,healthcare hospitals healthcare products healthcare service,,not found,1641 million usd,,,,,,1
