id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website,label
110304,96137,accenture plc,ireland,$219.03 b,1989,699000,information technology services,technology,ms. julie t. spellman sweet,,acn,,,,,accenture plc,ireland,$219.03 b,,,information technology services,technology,,,acn,,,,,1
67079,19178,"old dominion freight line, inc.",,,founded 1934,employees 23663,,,ceo mr. greg c. gantt,,,,,,,"old dominion freight line, inc.",united states,$34.94 billion,1934,23663,trucking,industrials,mr. greg c. gantt,us$4015 million 2020,,,,,,1
97846,96745,first republic bank,usa,$22.49 b,,,,,,,,$122.98,,,,first republic bank,united states,$27.90 b,,,banks,financials,,,frc,,,,,1
139252,97530,sika,,,1910 113 yrs old,,chemicals,,,,,,,,,sika,switzerland,$39.32 b,,,,,,,,$256.83,,,,1
109584,19345,adyen n.v.,netherlands,$61.11 b,,2180,softwareinfrastructure,technology,mr. pieter willem van der does,,adyen,,,,,adyen n.v.,netherlands,us$61.11 billion,,2180,softwareinfrastructure,technology,mr. pieter willem van der does,,,,,,,1
99986,44692,lanxess,germany,$3.44 b,,,,,,,,$38.73,,,,lanxess,,,,14866,,,,,,,,,httpslanxess.com,1
25963,12211,mahindra & mahindra,india,$19.22 b,,,,,,,,$15.47,,,,mahindra & mahindra,india,,,,,,,,,15,,,,1
42793,32793,vici properties,,,,152,,,edward b. pitoniak,,,,,,httpsviciproperties.com,vici properties,,,,152,,,edward b. pitoniak,,,,,,httpsviciproperties.com,1
26131,11999,gartner,usa,$27.06 b,,,,,,,,$342.55,,,,gartner,usa,,,,,,,,,329,,,,1
161864,65756,meituan,china,$133.23 b,,,,,,,,$21.53,,,,meituan,,,2010.0,,it software services,,,$27.8b,,,,,,1
131968,26536,starbucks,united states,,1971,383000,restaurants,,howard schultz,$30.4b,,,,,,starbucks,usa,$116.92 b,,,,,,,,$101.87,,,,1
167004,114153,trivago,germany,$0.59 b,,,,,,,,$1.66,,,,trivago,germany,$0.59 b,,,,,,,,$1.66,,,,1
129308,49929,malibu boats,,,,2645,,,,,,,,,,malibu boats,,,,2645,,,,,,,,,httpswww.malibuboats.com,1
159373,102103,travelcenters of america,usa,$0.71 b,,,,,,,,$48.00,,,,travelcenters of america,usa,$0.69 b,,,,,,,,$46.85,,,,1
135986,107563,hanon systems,,,1986 37 yrs old,,auto components,,,,,,,,,hanon systems,,$3.8b,,2136,automotive,,,$6.4b,,,,95 sinilseoro daedeokgu daejeon 34325,www.hanonsystems.com,1
85274,71536,lg display,s. korea,,,,,,,,,$5.35,,,,lg display,south korea,$5.38 b,,,,,,,,,,,,1
125385,46012,atco ltd.,,,,,,,,,,,,,,atco ltd.,,,,,,,,,,,,,httpswww.atco.com,1
110535,73754,chubb,switzerland,$90.96 b,,,,,,,,$219.16,,,,chubb,,,,,,,,,,,,,,1
112075,101661,fulgent genetics,usa,$0.98 b,,,,,,,,$32.63,,,,fulgent genetics,usa,$1.01 b,,,,,,,,$33.71,,,,1
24356,3945,carter's,usa,$2.74 b,,,,,,,,$71.80,,,,carter's,usa,4.506 billion usd,,,,,,,,,,,,1
122237,1253,nexon,,,,6288,,,owen mahoney,,,,,,,nexon,japan,17.081 billion usd,,,,,kim jungju,,,,,,,1
128668,7684,"shenzhen xinhao photoelectricity technology co.,ltd",,,,,,,,,,,,,,"shenzhen xinhao photoelectricity technology co.,ltd",china,1.308 billion usd,,,,,,,,,,,,1
65865,25961,centerpoint energy,,,1882.0,,utilities,,,$8.4b,,,,,,centerpoint energy,usa,$19.13 b,,,,,,,,$30.39,,,,1
170155,153,allianz se,germany,$98.47 b,,,insurancediversified,financials,,,alv,,,,,allianz se,germany,97.559 billion usd,,,,,,,,,,,,1
110118,42184,kone oyj,finland,$27.29 b,,62720,specialty industrial machinery,industrials,mr. henrik ehrnrooth m.sc. econ,,knebv,,,,,kone oyj,,,,61380,,,henrik ehrnrooth,,,,,,httpswww.kone.comen,1
121132,64255,airbus,,,,125888,,,guillaume faury,,,,,,,airbus,netherlands,,,,,,,$61.64 b,,,,,,1
86138,14969,aareal bank,germany,,,,,,,,,$35.73,,,,aareal bank,germany,,,,,,,,,35,,,,1
71768,55144,credicorp,peru,$11.7 b,,,,,,,,,,,,credicorp,peru,,1995,,financial services banking services insurance investments wealth management,,not found,3753 million usd,,,,,,1
100386,4225,freshpet,usa,$2.66 b,,,,,,,,$55.53,,,,freshpet,usa,5.556 billion usd,,,,,,,,,,,,1
119895,117180,abysse uk ltd,united kingdom,,,,,,,,,,london,co accountsco 47 islington park street,,abysse uk ltd,united kingdom,,,,,,,,,,london,co accountsco 47 islington park street,,1
37183,5588,mmg limited,,,,,,,,,,,,,httpswww.mmg.com,mmg limited,australia,4.156 billion usd,,,,,,,,,,,,1
49988,8385,elgi equipments,,,,,,,,,,,,,httpwww.elgi.com,elgi equipments,india,0.881 billion usd,,,,,,,,,,,,1
115608,58574,gentherm,usa,$2.40 b,,,,,,,,$72.55,,,,gentherm,usa,,1991,,consumer cyclical automobile automobile parts capital goods,,not found,1046 million usd,,,,,,1
150417,18791,zebra technologies corporation,,$21.87 billion,1969,9800,,,mr. anders gustafsson,,,,,,,zebra technologies corporation,united states,$21.87 billion,1969,9800,communication equipment,technology,mr. anders gustafsson,$4.448 billion fy 2020,,,,,,1
63218,51551,jumia technologies ag,germany,,2012,,consumer cyclical retail internet or mobile app based business ecommerce,,not found,177 million usd,,,,,,jumia technologies ag,,,,4067,,,,,,,,,httpsgroup.jumia.com,1
42190,26171,hang seng bank,,,,10000,,,louisa cheang wai wan,,,,,,httpswww.hangseng.com,hang seng bank,hong kong,$30.32 b,,,,,,,,$15.86,,,,1
180247,110185,nomura research institute ltd,,¥2.482 trillion,,16196,,,mr. shingo konomoto,,,,,,,nomura research institute ltd,japan,$20.26 b,,16196,information technology services,technology,mr. shingo konomoto,,4307,,,,,1
122976,55280,capitaland mall trust,,,,12100,,,,,,,,,,capitaland mall trust,singapore,,2001,,real estate property investments commercial properties investments retail,,not found,53 million usd,,,,,,1
125069,45688,kemper corporation,,,,10300,,,,,,,,,,kemper corporation,,,,10300,,,,,,,,,httpswww.kemper.com,1
35945,14363,max financial services,,,,,,,,,,,,,httpswww.maxfinancialservices.com,max financial services,india,,,,,,,,,9,,,,1
174332,130181,morphosys ag,,€823.6 million,,771,,,dr. jeanpaul kress m.d.,,,,,,,morphosys ag,,,,,,,,,,,,,,1
171189,67651,titulae,spain,,2015,35,,education,,4870863,,,,,,titulae,spain,,2015,,,education,,,,,,,,1
132602,32995,builders firstsource,united states,,1998,28000,construction,,david e. flitman,$19.9b,,,,,,builders firstsource,,,,28000,,,dave flitman,,,,,,httpswww.bldr.com,1
164091,94569,united bankshares,usa,$5.31 b,,,,,,,,$39.44,,,,united bankshares,,$5.50 b,,2.988,,,,$0.99 b,,$40.87,,,,1
157075,86221,iifl wealth management,india,$2.04 b,,,,,,,,$22.96,,,,iifl wealth management,india,,,,,,,,,$22.54,,,,1
59410,37728,nihon kohden corporation,japan,,1951,,healthcare medical equipment electronics,,not found,1497 million usd,,,,,,nihon kohden corporation,,,,5357,,,,,,,,,httpswww.nihonkohden.com,1
90918,19013,orix corporation,japan,,,,,financials,,,8591,,,,,orix corporation,japan,us$23.97 billion,,33153,credit services,financials,mr. makoto inoue,,,,,,,1
164952,111838,comstock resources,usa,$2.96 b,,,,,,,,$12.67,,,,comstock resources,usa,$2.96 b,,,,,,,,$12.67,,,,1
147436,89677,boehringer ingelheim,,,1885,,health care,pharmaceuticals,,,,,,,,boehringer ingelheim,,,1885,50000,,pharmaceuticals and life sciences,,19624.6,,,,,www.boehringeringelheim.de,1
52912,34861,italgas,italy,,,,,utilities,,1427 million usd,,,,,,italgas,,,,,,,,,,,,,httpswww.italgas.it,1
17176,7200,lendingtree,usa,,,,,,,,,22,,,,lendingtree,usa,2.219 billion usd,,,,,,,,,,,,1
100860,5302,software ag,germany,$1.88 b,,,,,,,,$25.42,,,,software ag,germany,3.764 billion usd,,,,,,,,,,,,1
162525,54473,air china,china,$23.14 b,,,,,,,,$1.61,,,,air china,china,,1988,,industries aviation airlines,,not found,10846 million usd,,,,,,1
179000,18770,"hengli petrochemical co.,ltd.",,cn¥145.45 billion,,29522,,,not found,,,,,,,"hengli petrochemical co.,ltd.",china,us$22.86 billion,,29522,textile manufacturing,consumer discretionary,,,,,,,,1
158254,102466,value line,usa,$0.51 b,,,,,,,,$54.11,,,,value line,usa,$0.49 b,,,,,,,,$52.25,,,,1
169289,66852,marvell technology group ltd.,bermuda,,,,semiconductors,technology,,,mrvl,,,,,marvell technology group ltd.,,,founded 1995,employees 6695,,,ceo mr. matthew j. murphy,,,,,,,1
132819,83880,bank negara indonesia,indonesia,,1946,27177,banking,,royke tumilaar,$4.8b,,,,,,bank negara indonesia,indonesia,,,,,,,,,$0.58,,,,1
154942,31864,marvell technology group,usa,$35.56 b,,,,,,,,$41.68,,,,marvell technology group,,,,5633,,,matthew murphy,,,,,,httpswww.marvell.com,1
98764,13084,arabian internet and communications services,s. arabia,$8.09 b,,,,,,,,$68.15,,,,arabian internet and communications services,s. arabia,,,,,,,,,64,,,,1
62286,40611,jubilant ingrevia limited,india,,not found,,healthcare biotechnology,,not found,615 million usd,,,,,,jubilant ingrevia limited,,,,,,,,,,,,,httpsjubilantingrevia.com,1
103689,18038,scynexis,usa,$67.27 m,,,,,,,,$2.06,,,,scynexis,usa,,,,,,,,,2,,,,1
166745,63279,beml,india,$0.77 b,,,,,,,,$18.50,,,,beml,india,,not found,,industries automobile industry machinery heavy machinery railway vehicles and railway components railway,,not found,543 million usd,,,,,,1
97390,19576,marathon petroleum,usa,$51.99 b,,,,,,,,$110.94,,,,marathon petroleum,usa,$51.08 b,,,,,,,,$109.00,,,,1
132527,64995,roper technologies,united states,,1981,19300,conglomerates,,laurence neil hunn,$6.1b,,,,,,roper technologies,united states,,,,,,,$6.09 b,,,,,,1
169443,53674,the bank of new york mellon corporation,united states,,,,asset management,financials,,,bk,,,,,the bank of new york mellon corporation,usa,,2007,,financial services banking services wealth management asset management,,gerald l. hassell,15633 million usd,,,,,,1
149816,96444,general motors company,,$62.69 billion,september 16 1908,157000,,,ms. mary t. barra,,,,,,,general motors company,united states,$62.69 b,,,auto manufacturers,consumer discretionary,,,gm,,,,,1
163403,143188,advance auto parts,usa,$8.73 b,,,,,,,,$147.49,,,,advance auto parts,,,1932 91 yrs old,,auto components,,,,,,,,,1
83356,32607,tata motors,india,,,,,,,,,$24.91,,,,tata motors,,,,78906,,,,,,,,,httpswww.tatamotors.com,1
39633,8040,bb healthcare trust,,,,,,,,,,,,,,bb healthcare trust,uk,1.506 billion usd,,,,,,,,,,,,1
22790,16574,calavo growers,usa,$0.60 b,,,,,,,,$34.10,,,,calavo growers,usa,,,,,,,,,31,,,,1
170254,41914,boston scientific corporation,united states,$63.08 b,,,medical devices,healthcare,,,bsx,,,,,boston scientific corporation,,,,41000,,,michael f. mahoney,,,,,,httpwww.bostonscientific.com,1
87967,22511,teekay,canada,,,,,,,,,$4.57,,,,teekay,canada,$0.40 b,,,,,,,,$4.05,,,,1
72407,1248,burlington stores,united states,$13.82 b,,,,,,,,,,,,burlington stores,usa,19.983 billion usd,,,,,michael o sullivan,,,,,,,1
50266,40260,"anhui sierte fertilizer industry ltd. ,company",,,,,,,,,,,,,httpwww.sierte.com,"anhui sierte fertilizer industry ltd. ,company",,,,,,,,,,,,,httpwww.sierte.com,1
57430,45761,xj electric,china,,not found,,industries electrical products power equipment,,not found,1745 million usd,,,,,,xj electric,,,,5547,,,,,,,,,httpwww.xjgc.com,1
102195,50611,merus,netherlands,$0.64 b,,,,,,,,$13.86,,,,merus,,,,,,,,,,,,,httpsmerus.nl,1
167952,17443,agilethought,usa,$0.20 b,,,,,,,,$4.20,,,,agilethought,usa,,,,,,,,,4,,,,1
116267,61480,leapmotor,china,$4.03 b,,,,,,,,$3.46,,,,leapmotor,china,,2017,,not found,,not found,not found,,,,,,1
119189,96344,hp inc.,united states,,,,,,,,,,palo alto,1501 page mill rd,,hp inc.,united states,$43.90 b,,,computer hardware,technology,,,hpq,,,,,1
59985,38303,china everbright,china,,not found,,financial services asset management,,not found,739 million usd,,,,,,china everbright,,,,,,,,,,,,,httpswww.everbright.comen,1
114495,23073,gopro,usa,$0.87 b,,,,,,,,$5.63,,,,gopro,usa,$0.81 b,,,,,,,,$5.23,,,,1
147334,92485,bazaar,,,,,consumer services,food retailers,,,,,,,,bazaar,,,,,consumer services,food retailers,,,,,,,,1
63818,33590,samsung life insurance,,,,,,,,,,,,,,samsung life insurance,,,,5273,,,,,,,,,httpwww.samsunglife.com,1
170461,19217,ebay inc.,united states,$39.34 b,,,internet retail,consumer discretionary,,,ebay,,,,,ebay inc.,united states,$39.34 billion,september 3 1995,10800,internet retail,consumer discretionary,mr. jamie j. iannone,us$10.8 billion 2019,,,,,,1
45287,35284,hexcel corporation,,,,4863,,,,,,,,,httpswww.hexcel.com,hexcel corporation,,,,4863,,,,,,,,,httpswww.hexcel.com,1
122221,54516,nn group,,,,15417,,,david knibbe,,,,,,,nn group,netherlands,,1963,,financial services asset management insurance,,david knibbe,25930 million usd,,,,,,1
121261,97325,nongfu spring,,,,,,,,,,,,,,nongfu spring,china,$61.55 b,,,,,,,,$5.47,,,,1
128696,7712,genimous technology,,,,,,,,,,,,,,genimous technology,china,1.352 billion usd,,,,,,,,,,,,1
24931,1921,barratt developments,uk,$4.89 b,,,,,,,,$4.89,,,,barratt developments,uk,10.474 billion usd,,,,,,,,,,,,1
150739,41729,american tower corporation (reit),usa,121.40 billion usd,1995.0,5618,,,tom bartlett,,,,,,,american tower corporation (reit),,,,5618,,,tom bartlett,,,,,,httpwww.americantower.com,1
65766,59330,shimao property holdings,,,2004.0,,construction,,,$21.8b,,,,,,shimao property holdings,china,,2001,,real estate property investments construction commercial properties,,not found,19697 million usd,,,,,,1
123217,55516,"dun & bradstreet holdings, inc.",,,,6296,,,,,,,,,,"dun & bradstreet holdings, inc.",usa,,1841,,technology software and it analytics consulting services,,not found,2165 million usd,,,,,,1
131984,64452,tyson foods,united states,,1935,137000,food drink tobacco,,donnie king,$49.5b,,,,,,tyson foods,united states,,,,,,,$49.52 b,,,,,,1
125600,57887,cgn new energy holdings,,,,,,,,,,,,,,cgn new energy holdings,hong kong,,1995,,utilities electricity generation power generation,,not found,1694 million usd,,,,,,1
152970,134727,federal bank,india,$3.55 b,,,,,,,,$1.68,,,,federal bank,,,1931 92 yrs old,,banking,,,,,,,,,1
42366,32369,orange s.a,,,,142150,,,stephane richard,,,,,,httpswww.orange.com,orange s.a,,,,142150,,,stephane richard,,,,,,httpswww.orange.com,1
60046,48375,"custom truck one source, inc.",usa,,1996,,industries trucks,,not found,1167 million usd,,,,,,"custom truck one source, inc.",,,,,,,,,,,,,httpswww.customtruck.com,1
183565,47631,webuild s.p.a.,,€1.45 billion,,31075,,,dr. pietro salini,,,,,,,webuild s.p.a.,,,,,,,,,,,,,httpswww.webuildgroup.com,1
19729,12104,trina solar,china,$18.29 b,,,,,,,,$8.43,,,,trina solar,china,,,,,,,,,10,,,,1
130063,40672,colowide,,,,,,,,,,,,,,colowide,,,,,,,,,,,,,httpswww.colowide.co.jpen usgroup.html,1
157630,21552,graphex group,hongkong,$43.39 m,,,,,,,,$1.27,,,,graphex group,hong kong,$43.45 m,,,,,,,,$1.26,,,,1
97122,26575,novo nordisk,denmark,$303.18 b,,,,,,,,$134.72,,,,novo nordisk,denmark,$284.30 b,,,,,,,,$125.24,,,,1
170723,53978,straumann holding ag,switzerland,$25.31 b,,,medical instruments supplies,healthcare,,,stmn,,,,,straumann holding ag,switzerland,,1954,,healthcare pharmaceutical medical equipment healthcare products,,patrick loh,2148 million usd,,,,,,1
82675,11546,air products and chemicals,usa,,,,,,,,,$311.40,,,,air products and chemicals,usa,,,,,,,,,310,,,,1
166219,114811,dine brands global,usa,$1.20 b,,,,,,,,$76.71,,,,dine brands global,usa,$1.20 b,,,,,,,,$76.71,,,,1
50356,8757,zhejiang huatong meat products,,,,,,,,,,,,,httpwww.huatongmeat.com,zhejiang huatong meat products,china,0.563 billion usd,,,,,,,,,,,,1
130091,62379,creditaccess grameen limited,,,,,,,,,,,,,,creditaccess grameen limited,india,,not found,,financial services,,not found,319 million usd,,,,,,1
44806,24412,bellway,,,,2889,,,,,,,,,httpswww.bellway.co.uk,bellway,uk,$2.90 b,,,,,,,,$23.31,,,,1
150382,54075,united microelectronics corporation,,tw$669.74 billion,,19500,,,,,,,,,,united microelectronics corporation,taiwan,,1980,,technology electronics semiconductors technology hardware and instruments processors chips,,stan hung,7421 million usd,,,,,,1
156275,96039,iovance biotherapeutics,usa,$1.05 b,,,,,,,,$6.68,,,,iovance biotherapeutics,,$1.00 b,,319.0,,,,,,$6.35,,,,1
37760,6167,sansan,,,,141,,,,,,,,,httpswww.sansan.com,sansan,japan,3.321 billion usd,,,,,,,,,,,,1
59737,48068,biocryst pharmaceuticals,usa,,1986,,healthcare pharmaceutical healthcare products biotechnology technology,,not found,157 million usd,,,,,,biocryst pharmaceuticals,,,,358,,,,,,,,,httpswww.biocryst.com,1
156048,59701,valneva se,france,$1.10 b,,,,,,,,$15.82,,,,valneva se,france,,2012,,healthcare biotechnology,,not found,348 million usd,,,,,,1
132210,63830,tokyo electron,japan,,1963,14479,semiconductors,,toshiki kawai,$17.1b,,,,,,tokyo electron,,,,,,,,,,,,,,1
98560,55413,gold fields,south africa,$9.94 b,,,,,,,,$10.76,,,,gold fields,south africa,,1998,,basic materials mining gold mining metals precious metals,,not found,4195 million usd,,,,,,1
133235,72227,adani green energy,india,,2015,2343,utilities,,not found,$419m,,,,,,adani green energy,india,$59.06 b,,,,,,,,,,,,1
158253,87872,national presto industries,usa,$0.51 b,,,,,,,,$72.55,,,,national presto industries,usa,,,,,,,,,$71.85,,,,1
72874,67687,kry,sweden,,2014,,,health,,77764611,,,,,,kry,sweden,,2014,,,health,,,,,,,,1
66392,25710,kpn,,,1989.0,,telecommunications services,,,$6.2b,,,,,,kpn,netherlands,$12.55 b,,,,,,,,$3.06,,,,1
155653,82555,sap,germany,$138.59 b,,,,,,,,$118.50,,,,sap,germany,,,,,,,,,$117.01,,,,1
71007,63637,texas instruments,united states,$159.94 b,,,,,,,,,,,,texas instruments,,,,,,,,,,,,,,1
46750,36738,china railway hi-tech industry corporation,,,,,,,,,,,,,httpwww.crhic.cn,china railway hi-tech industry corporation,,,,,,,,,,,,,httpwww.crhic.cn,1
125438,46059,mitsubishi gas chemical company,,,,8954,,,,,,,,,,mitsubishi gas chemical company,,,,8954,,,,,,,,,httpswww.mgc.co.jp,1
49153,15521,m/i homes,,,,1657,,,,,,,,,httpswww.mihomes.com,m/i homes,usa,,,,,,,,,50,,,,1
162618,19720,huntington bancshares,usa,$20.36 b,,,,,,,,$14.11,,,,huntington bancshares,usa,$21.16 b,,,,,,,,$14.67,,,,1
129328,61622,beijing sanyuan foods,,,,,,,,,,,,,,beijing sanyuan foods,china,,not found,,consumer defensive fmcg package foods food products,,not found,not found,,,,,,1
165984,86635,treace medical concepts,usa,$1.43 b,,,,,,,,$25.94,,,,treace medical concepts,usa,,,,,,,,,$25.94,,,,1
51321,9712,"henan lantian gas co.,ltd.",,,,,,,,,,,,,httpwww.hnltrq.com.cn,"henan lantian gas co.,ltd.",china,1.006 billion usd,,,,,,,,,,,,1
149683,73686,china merchants bank,,cn¥1.183 trillion,,103669,,,mr. huiyu tian mpa,,,,,,,china merchants bank,,,,,,,,,,,,,,1
41975,378,ping an bank,,,,38600,,,xie yonglin,,,,,,httpsbank.pingan.comen,ping an bank,china,52.047 billion usd,,,,,ma mingzhe peter,,,,,,,1
84841,20197,owl rock capital,usa,,,,,,,,,$12.88,,,,owl rock capital,usa,$4.79 b,,,,,,,,$12.17,,,,1
121959,65388,china railway group,,,,290000,,,,,,,,,,china railway group,,,1989.0,,construction,,,$166.5b,,,,,,1
72971,67784,lmg building,italy,,1982,,,construction,,6255970,,,,,,lmg building,italy,,1982,,,construction,,,,,,,,1
151976,53294,meta platforms,,,january 4 2004 18 years ago 20040104 in cambridge massachusetts u.s.,,social media social network advertising consumer electronics virtual reality,,,,,,,,,meta platforms,usa,,2004,,communication services internet or mobile app based business social media artificial intelligence internet of things advertising technology media software and it software products,,mark zuckerberg,117930 million usd,,,,,,1
95463,95462,dime community bancshares,,$1.28 b,,802.0,,,,$0.41 b,,$33.25,,,,dime community bancshares,,$1.28 b,,802.0,,,,$0.41 b,,$33.25,,,,1
82996,19671,mtr corporation,hong kong,,,,,,,,,$5.41,,,,mtr corporation,hong kong,$29.99 b,,,,,,,,$4.84,,,,1
61806,8539,lsis,south korea,,not found,,industries power equipment automation railway vehicles and railway components electrical products,,not found,not found,,,,,,lsis,south korea,1.715 billion usd,,,,,,,,,,,,1
121593,42203,ameriprise financial,,,,12000,,,james cracchiolo,,,,,,,ameriprise financial,,,,12000,,,james cracchiolo,,,,,,httpswww.ameriprise.com,1
114034,41327,ecn capital,canada,$0.52 b,,,,,,,,$2.13,,,,ecn capital,,,,590,,,,,,,,,httpswww.ecncapitalcorp.com,1
171113,67575,oxray,portugal,,2009,6,,health,,5465756,,,,,,oxray,portugal,,2009,,,health,,,,,,,,1
126043,72381,alpha bank,,,,10528,,,,,,,,,,alpha bank,greece,$2.98 b,,,,,,,,,,,,1
69362,69361,osaaa1⁄4hingsparkles(10809369),,,,,,,,,,,,harju maakond tallinn pirita linnaosa supluse pst 1 11911,,osaaa1⁄4hingsparkles(10809369),,,,,,,,,,,,harju maakond tallinn pirita linnaosa supluse pst 1 11911,,1
156355,114987,russel metals,canada,$1.46 b,,,,,,,,$23.41,,,,russel metals,canada,$1.40 b,,,,,,,,$22.43,,,,1
156103,9264,employers holdings,usa,$1.16 b,,,,,,,,$42.77,,,,employers holdings,usa,1.168 billion usd,,,,,,,,,,,,1
185345,31624,kweichow moutai,,cn¥2.216 trillion,,29031,,,not found,,,,,,,kweichow moutai,,,,29031,,,li bao fang,,,,,,,1
121802,54099,martin marietta materials,,,,8700,,,c. howard nye,,,,,,,martin marietta materials,usa,,1949,,basic materials construction materials mining metals,,c. howard nye,5414 million usd,,,,,,1
170612,96698,"cbre group, inc.",united states,$30.45 b,,,real estate services,real estate,,,cbre,,,,,"cbre group, inc.",united states,$30.45 b,,,real estate services,real estate,,,cbre,,,,,1
