"Declining stem","English derivatives","Citation form","Meaning"
"aqu-","acquacotta, akvavit, aqua vitae, aquaculture, aquamanile, aquamarine, aquarelle, aquarial, aquarium, Aquarius, aquatic, aquatile, aqueduct, aqueous, aquifer, aquiferous, aquiform, ewer, gouache, semiaquatic, sewage, sewer, sewerage","aqua","water"
"aquul-","acquacotta, akvavit, aqua vitae, aquaculture, aquamanile, aquamarine, aquarelle, aquarial, aquarium, Aquarius, aquatic, aquatile, aqueduct, aqueous, aquifer, aquiferous, aquiform, ewer, gouache, semiaquatic, sewage, sewer, sewerage","†aquula","water"
"aquil-","Aquila, aquiline, aquilinity","aquila","eagle"
"arbor-","arboraceous, arboreal, arboreality, arboreous, arborescence, arborescent, arboretum, arboriculture, arborous, arborvitae, arbuscle, arbuscular","arbor, arbōs","tree"
"arc-","arc, arciform, arco, arcuate","arcus","bow"
"ardu-","arduous","arduus","steep"
"argent-","argent, argentate, argenteous, argentiferous, Argentina, argentite","argentum","silver"
"arm-","alarm, ambry, armada, armadillo, armament, armamentarium, armarium, armature, armiferous, armiger, armigerous, armipotent, armistice, armor, armorial, armory, army, disarm, disarmament, gendarme, gendarmerie, nonarmigerous, rearm, rearmament","arma","arms (weapons)"
"arm-","armill, armillary, armillifer","armus","shoulder"
"armill-","armill, armillary, armillifer","†armilla","shoulder"
"art- -ert-","artifact, artifice, artificial, artificiality, artisan, artisanal, artisanality, inert, inertia, inertial, noninert, noninertial","ars","art, skill"
"art-","arctation, coarctate","artus","tight"
"art-","article, articulable, articular, articulate, articulation, articulative, articulator, articulatory, biarticular, biarticulate, coarticulation, disarticulation, inarticulate, interarticular, intra-articular, multiarticular, multiarticulate, quinquarticular, triarticulate","artūs","joint"
"articul-","article, articulable, articular, articulate, articulation, articulative, articulator, articulatory, biarticular, biarticulate, coarticulation, disarticulation, inarticulate, interarticular, intra-articular, multiarticular, multiarticulate, quinquarticular, triarticulate","†articulus","joint"
"arv-","arval","arvus","plowed"
"ass- -uss-","ace, decussate, decussation, semis, tremissis","as",""
"asin-","Aselli, asinine, Asinus, easel","asinus","donkey"
"asell-","Aselli, asinine, Asinus, easel","†asellus","donkey"
"asper-","asperate, asperatus, asperity, exasperate, exasperation","asper","rough"
"ast-","astute","astus",""
"audāc-","audacious, audacity","audāx • audācior • audācissimus","brave, bold"
"aur-","aural, auricle, auricular, auriculate, auriform, auscultation, biauricular, biauriculate, binaural, circumaural, interauricular, scout","auris","ear"
"auricul-","aural, auricle, auricular, auriculate, auriform, auscultation, biauricular, biauriculate, binaural, circumaural, interauricular, scout","†auricula","ear"
"aur-","aurate, aureate, aureole, auriferous, aurification, aurous, dory, inaurate, inauration, oriole, orpiment","aurum","gold"
"avēn-","Avena, avenaceous, avenary, avener","avēna","oat"
"avi-","aucupation, augur, auspex, auspicate, auspice, auspicious, Aves, avian, aviary, aviation, aviator, aviatrix, avicide, Avicula, aviculture, avifauna","avis","bird"
"aucell-","aucupation, augur, auspex, auspicate, auspice, auspicious, Aves, avian, aviary, aviation, aviator, aviatrix, avicide, Avicula, aviculture, avifauna","†aucella","bird"
"avicul-","aucupation, augur, auspex, auspicate, auspice, auspicious, Aves, avian, aviary, aviation, aviator, aviatrix, avicide, Avicula, aviculture, avifauna","†avicula","bird"
"avuncul-","avuncular, avunculate, avunculicide, avunculocal, uncle","avunculus","uncle, mother's brother"
"axi-","abaxial, adaxial, axial, axiality, axifugal, axile, biaxial, biaxiality, coaxial, interaxial, multiaxial, semiaxis, triaxial, triaxiality, uniaxial","axis","axle"
"bac-","baccalaureate, baccate, bacciferous, bacciform, baccivorous, bagasse, bagatelle","baca","berry"
"bacul-","baccalaureate, baccate, bacciferous, bacciform, baccivorous, bagasse, bagatelle","†bacula","berry"
"bacul-","bacillary, bacilliform, bacillus, baculiform, baculine, baguette, debacle, imbecile, imbecility","baculum","staff"
"bacill-","bacillary, bacilliform, bacillus, baculiform, baculine, baguette, debacle, imbecile, imbecility","†bacillum","staff"
"bāiul-","bail, bailee, bailie, bailiff, bailiwick, bailliage, baillie, bailment, bailor","bāiulus, bājulus","carrier"
"barb-","barb, barbate, barbel, barbellate, barber, barbet, barbicel, barbine, barbule, rebarbative","barba","beard"
"barbul-","barb, barbate, barbel, barbellate, barber, barbet, barbicel, barbine, barbule, rebarbative","†barbula","beard"
"bass-","abase, abasement, bas-relief, base, basset, basso, bassoon, bassus, debase, debasement","bassus","low"
"beat-","beatification, Beatitudes","beatus","blessed"
"bell-","antebellum, bellic, bellicose, bellicosity, belligerence, belligerent, debellatio, imbellic, rebel, rebellion, revel, revelment, revelry","bellum","war"
"bell-","embellish, embellishment","bellus","pretty"
"ben-","benediction, benedictional, benedictory, benefaction, benefactive, benefactor, benefactrix, benefic, benefice, beneficence, beneficent, benefit, benign, benignity","bene","good"
"besti-","beast, bestial, bestiary","bestia","animal"
"bin-","binary, binate, combination, combinatorial, combine, recombinant","bini","two each"
"bon- • melior- • optim-","bonbon, bonify, bonitary, bonus, boon, debonair • ameliorate, amelioration, meliority • optimal, optimate, optimum, suboptimal","bonus • melior • optimus","good • better • best"
"bov-","bovine, bovinic acid","bōs","cow, ox"
"botul-","botulin, boudin","botulus","sausage"
"botell-","botulin, boudin","†botellus","sausage"
"brac-","embrace, braces, bracelet","bracchium","arm, support"
"brev-","abbreviate, abbreviation, breve, brevet, breviary, brevity, brief, debrief","brevis","brief, short"
"bucc-","buccal, buccinator muscle, buckle, debouch, debuccalization","bucca","cheek, mouth, cavity"
"buccul-","buccal, buccinator muscle, buckle, debouch, debuccalization","†buccula","cheek, mouth, cavity"
"bulb-","bulb, bulbar, bulbose, bulbous, bulbule","bulbus","bulbous"
"bulbul-","bulb, bulbar, bulbose, bulbous, bulbule","†bulbulus","bulbous"
"bull-","bill, billet, boil, boilery, bola, bolillo, bouillon, bowl, bull, bulla, bullion, ebullience, ebullient, ebullition, garboil","bulla","bubble, flask"
"burs-","bolson, bourse, bursa, bursar, bursary, disbursal, disburse, disbursement, imburse, reimburse, reimbursement","bursa","pouch, purse"
"caball-","caballero, cavalcade, cavalero, cavalier, cavalry, chevalier, chivalrous, chivalry","caballus","horse"
"calc- -culc-","calcaneal, calcaneum, calcaneus, calque, calzone, caulk, inculcate, inculcation, recalcitrance, recalcitrant","calx","heel"
"calc-","calcareous, calciferous, calcific, calcification, calciform, calcite, calcium, calculability, calculable, calculate, calculation, calculator, calculus, caliche, chalk, decalcification, incalculable, precalculate, recalcification, recalculate","calx","limestone, pebble"
"camer-","antechamber, bicameral, camaraderie, camber, camera, chamber, chamberlain, comrade, concamerate, concameration, multicamera, tricameral, unicameral","camera","vault"
"camp-","camp, campaign, campesino, campestral, campo, campsite, campus, champertous, champerty, champignon, champion, decamp, decampment, encamp, encampment","campus","field"
"candēl-","candela, candelabra, candelabrum, chandelier, chandler, chandlery","candēla","candle"
"can-","canaille, canary, canicule, canid, canine, Canis, Canis Major, postcanine","canis","dog"
"capann-","cabana, cabin, cabinetry","capanna",""
"capr-","cabriole, cabriolet, caper, capreolate, capric, Capricorn, caprid, caprifig, capriform, caprigenous, caprine, capriole","caper, capra","goat"
"capill-","capellini, capillaceous, capillarity, capillary, capilliform, capillose, dishevel, dishevelment, precapillary","capillus","hair"
"caps-","caisson, capsicum, capsular, capsule, case, cashier, cassone, chassis, encapsulant, encapsulate, encapsulation, encase, encasement, incase, incasement, intracapsular, subcapsular","capsa","box, case"
"capsell-","caisson, capsicum, capsular, capsule, case, cashier, cassone, chassis, encapsulant, encapsulate, encapsulation, encase, encasement, incase, incasement, intracapsular, subcapsular","†capsella","box, case"
"capsul-","caisson, capsicum, capsular, capsule, case, cashier, cassone, chassis, encapsulant, encapsulate, encapsulation, encase, encasement, incase, incasement, intracapsular, subcapsular","†capsula","box, case"
"capit-, -cipit-","achievable, achieve, achievement, ancipital, ancipitous, biceps, bicipital, cabotage, cad, caddie, cadet, cape, cap, capital, capitular, capitulary, capitulate, capitulation, capitule, capitulum, capo, capodecina, caporegime, captain, captaincy, cattle, caudillo, centicipitous, chapter, chaptrel, chattel, chef, chief, chieftain, co-captain, co-captaincy, decapitate, decapitation, occipital, occiput, per capita, precipice, precipitando, precipitation, precipitous, quadriceps, quadricipital, recapitulate, sincipital, sinciput, sous-chef, subcaptain, tri-captain, triceps, tricipital, unicipital, vice-captain, vice-captaincy","caput","head"
"capitell-","achievable, achieve, achievement, ancipital, ancipitous, biceps, bicipital, cabotage, cad, caddie, cadet, cape, cap, capital, capitular, capitulary, capitulate, capitulation, capitule, capitulum, capo, capodecina, caporegime, captain, captaincy, cattle, caudillo, centicipitous, chapter, chaptrel, chattel, chef, chief, chieftain, co-captain, co-captaincy, decapitate, decapitation, occipital, occiput, per capita, precipice, precipitando, precipitation, precipitous, quadriceps, quadricipital, recapitulate, sincipital, sinciput, sous-chef, subcaptain, tri-captain, triceps, tricipital, unicipital, vice-captain, vice-captaincy","†capitellum","head"
"capitul-","achievable, achieve, achievement, ancipital, ancipitous, biceps, bicipital, cabotage, cad, caddie, cadet, cape, cap, capital, capitular, capitulary, capitulate, capitulation, capitule, capitulum, capo, capodecina, caporegime, captain, captaincy, cattle, caudillo, centicipitous, chapter, chaptrel, chattel, chef, chief, chieftain, co-captain, co-captaincy, decapitate, decapitation, occipital, occiput, per capita, precipice, precipitando, precipitation, precipitous, quadriceps, quadricipital, recapitulate, sincipital, sinciput, sous-chef, subcaptain, tri-captain, triceps, tricipital, unicipital, vice-captain, vice-captaincy","†capitulum","head"
"carbon-","bicarbonate, carbon, carbonate, carbonation, Carboniferous, carbuncle, radiocarbon","carbo","coal"
"carcer-","cancel, cancellable, cancellate, cancellation, cancellous, cancellus, chancel, chancellery, chancellor, chancery, incarcerate, incarceration, subchancel","carcer, cancer","jail"
"cancell-","cancel, cancellable, cancellate, cancellation, cancellous, cancellus, chancel, chancellery, chancellor, chancery, incarcerate, incarceration, subchancel","†cancelli","jail"
"cardin-","cardinal, cardinality, kern","cardo","hinge"
"cardu-","card","carduus","thistle"
"cari-","cariosity, carious","cariēs","decay"
"carīn-","careen","carīna",""
"carn-","carnage, carnal, carnary, carnate, carnation, carneous, carnival, carnivore, carnose, carnosity, carrion, caruncle, carunculate, charcuterie, charnel, discarnate, incarnadine, incarnate, incarnation, reincarnate, reincarnation","caro","flesh"
"carr-","car, career, cargo, caricature, carriage, carry, charge, chariot, charioteer, charrette, countercharge, discharge, dischargee, encharge, recharge, surcharge","carrus, carrum",""
"cartilagin-","cartilage, cartilaginous, noncartilaginous, precartilage","cartilago",""
"cār-","caress, caressive, charitable, charity, cherish, noncharitable","cārus","dear"
"cas-","casino","casa","house"
"cāse-","caseic, casein, caseous, cheese, quesadilla","cāseus","cheese"
"castr-","chateau","castrum",""
"castell-","chateau","†castellum",""
"cast-, -cest-","caste, castigate, castigation, castigator, chaste, chasten, chastity, incest, incestuous","castus","pure"
"catēn-","catenary, catenate, catenation, catenative, catenulate, chain, concatenate, concatenation, enchain, enchaînement, nonconcatenative","catēna","chain"
"catēnul-","catenary, catenate, catenation, catenative, catenulate, chain, concatenate, concatenation, enchain, enchaînement, nonconcatenative","†catēnula","chain"
"caud-, cod-","cauda, caudal, caudate, caudicle, coda, codetta, curvicaudate, dequeue, enqueue, queue","cauda","tail"
"caudicul-","cauda, caudal, caudate, caudicle, coda, codetta, curvicaudate, dequeue, enqueue, queue","†caudicula","tail"
"caul-, col-","caulescent, caulicle, cauliflorous, cauliflory, cauliform, cauline, choux","caulis","stalk, stem"
"caulicul-","caulescent, caulicle, cauliflorous, cauliflory, cauliform, cauline, choux","†cauliculus","stalk, stem"
"caus-, -cus-","accusal, accusation, accusative, accusativity, accusatory, accuse, causality, causation, causative, causativity, excusable, excuse, inexcusable, irrecusable, recusal, recusancy, recusant, recuse, ruse, rush","causa",""
"cav-","biconcave, biconcavity, cage, cajole, cajolement, caval, cavate, cavatina, cave, cavea, cavern, cavernicolous, cavernous, cavernulous, cavicorn, cavitation, cavity, concave, concavity, encage, excavate, excavation, excavator, quasiconcave, quasiconcavity","cavus","hollow"
"celebr-","celebrant, celebrate, celebration, celebratory, celebrity, concelebration","celeber","famous"
"celer-","accelerando, accelerant, accelerate, acceleration, accelerator, celerity, decelerando, decelerate, deceleration, decelerator","celer","quick, swift"
"centen-","bicentenary, centenarian, centenary","centeni","hundred each"
"centesim-","centavo, centesimal, centesimation, centime, céntimo","centesimus","hundredth"
"cent-","cent, centennial, centifidous, centillion, centurial, centurion, century, semicentennial, sesquicentennial, tricentennial","centum","hundred"
"cer-","ceraceous, cereous, ceresin, inceration","cera","wax"
"cerebr-","cerebellar, cerebellum, cerebral, cerebrifugal, cerebripetal, intracerebral","cerebrum","brain"
"cerebell-","cerebellar, cerebellum, cerebral, cerebrifugal, cerebripetal, intracerebral","†cerebellum","brain"
"cert-","ascertain, ascertainable, certificate, certification, certiorari, certitude, decertification, incertitude, recertification","certus","certain"
"cervīc-","cervical, cervix, intracervical","cervīx","neck"
"cerv-","cervid, Cervidae, cervine","cervus","deer"
"ceter-","et cetera","ceterus","other"
"cib-","cibarious, cibarium, cibation","cibus","food"
"cicātrīc-","cicatrice","cicātrīx","scar"
"cili-","cilia, ciliary, ciliate, ciliation, supercilious","cilium","eyelash"
"ciner-","cinerarium, cinerary, cinereous, cinerin, incinerate, incineration, incinerator","cinis","ashes"
"cipp-","cep","cippus",""
"circ-","circular, circus","circus","circle"
"cirr-","cirrus","cirrus","curl, tentacle"
"citr- • citerior- • citim-","citerior","citer • citerior • citimus","on this side"
"cīv-","civil, civilian, civility","cīvis","citizen"
"clar-","clarify, clarity, declaration, declarative, declaratory, declare","clarus","clear"
"clav-","claves, clavicle, clavier, enclave, exclave","clavis","key"
"clāvicul-","claves, clavicle, clavier, enclave, exclave","†clāvicula","key"
"clement-","clemency, clement, inclemency, inclement","clemens","mild"
"codic-","code, codex, codical, codicil","codex",""
"codicill-","code, codex, codical, codicil","†codicillus",""
"coll-","colliculus","collis","hill"
"collicul-","colliculus","†colliculus","hill"
"coll-","collar","collum","neck"
"color-","bicolor, Colorado, coloration, coloratura, concolorous, decolor, discolor, discoloration, multicolor, tricolor, unicolor, versicolor","color","color"
"cōl-","colander, coulee, coulis, coulisse, couloir, cullender, cullis, percolate, percolation, percolator, piña colada, portcullis","cōlum","strainer"
"columb-","columbarium, columbary, Columbella, columbine","columba","dove"
"cord-","accord, accordance, accordant, accordatura, concord, concordance, concordant, concordat, corcle, cordate, cordial, cordiality, cordiform, core, courage, courageous, discord, discordance, discordant, discourage, discouragement, encourage, encouragement, nonaccordant, obcordate, record, scordatura","cor","heart"
"corcill-","accord, accordance, accordant, accordatura, concord, concordance, concordant, concordat, corcle, cordate, cordial, cordiality, cordiform, core, courage, courageous, discord, discordance, discordant, discourage, discouragement, encourage, encouragement, nonaccordant, obcordate, record, scordatura","†corcillum","heart"
"corcul-","accord, accordance, accordant, accordatura, concord, concordance, concordant, concordat, corcle, cordate, cordial, cordiality, cordiform, core, courage, courageous, discord, discordance, discordant, discourage, discouragement, encourage, encouragement, nonaccordant, obcordate, record, scordatura","†corculum","heart"
"corb-","corb, corf","corbis","basket"
"cori-","coriaceous, excoriate","corium",""
"corn-","bicorn, bicorne, Capricorn, cornea, corneal, corneous, corner, cornicle, corniculate, corniferous, cornification, corniform, cornucopia, quadricorn, quadricornous, tricorn, tricorne, tricornigerous, tricornute, unicorn, unicornous","cornū","horn"
"cornicul-","bicorn, bicorne, Capricorn, cornea, corneal, corneous, corner, cornicle, corniculate, corniferous, cornification, corniform, cornucopia, quadricorn, quadricornous, tricorn, tricorne, tricornigerous, tricornute, unicorn, unicornous","†corniculum","horn"
"corn-","cornaceous, cornel, Cornus","cornus","dogwood"
"cornicul-","cornaceous, cornel, Cornus","†cornicula","dogwood"
"coron-","corolla, corollaceous, corollarial, corollary, corona, coronamen, coronary, coronate, coronation, coronavirus, coroner, coronet, coroniform, Coronilla, crown, incoronate","corona","crown"
"coroll-","corolla, corollaceous, corollarial, corollary, corona, coronamen, coronary, coronate, coronation, coronavirus, coroner, coronet, coroniform, Coronilla, crown, incoronate","†corolla","crown"
"corpor-","accorporate, bicorporal, concorporate, concorporation, corporal, corporality, corporate, corporation, corporative, corporature, corporeal, corporeality, corporeity, corps, corpse, corpulence, corpulent, corpus, corpuscle, corpuscular, disincorporate, disincorporation, extracorporeal, incorporal, incorporality, incorporate, incorporation, incorporeal, incorporeality, incorporeity, tricorporal","corpus","body"
"corpuscul-","accorporate, bicorporal, concorporate, concorporation, corporal, corporality, corporate, corporation, corporative, corporature, corporeal, corporeality, corporeity, corps, corpse, corpulence, corpulent, corpus, corpuscle, corpuscular, disincorporate, disincorporation, extracorporeal, incorporal, incorporality, incorporate, incorporation, incorporeal, incorporeality, incorporeity, tricorporal","†corpusculum","body"
"cortic-","cortical, corticate, corticiform, corticifugal, corticipetal, decorticate, decortication, decorticator","cortex","bark, rind"
"corusc-","coruscant, coruscate, coruscation","coruscus",""
"corv-","corbel, cormorant, corvine","corvus","raven"
"corvell-","corbel, cormorant, corvine","†corvellus","raven"
"cost-","accost, bicostate, coast, coastal, costa, costal, costate, curvicostate, entrecôte, infracostal, intercostal, intracoastal, multicostate, quadricostate, supracostal, tricostate, unicostate","costa","rib"
"cotōne-","cotoneaster","cotoneum","quince"
"cox-","coxal","coxa","hip"
"crapul-","crapulence, crapulent","crapula",""
"cras-","crastination, procrastinate, procrastination, procrastinator","cras","tomorrow"
"crass-","crass, crassitude, crassulaceous","crassus","thick"
"crāt-","crate, grate, graticulation, graticule, griddle, grill, grillade, grillage, grille","crātis",""
"craticul-","crate, grate, graticulation, graticule, griddle, grill, grillade, grillage, grille","†craticula",""
"crēn-","bicrenate, crena, crenate, crenation, crenature, crenulate, crenulation","crēna","notch"
"crēnul-","bicrenate, crena, crenate, crenation, crenature, crenulate, crenulation","†crēnula","notch"
"cret-","cretaceous","creta","chalk"
"cribr-","cribble, cribellum, cribrate, cribriform, garble","cribrum","sieve"
"cribell-","cribble, cribellum, cribrate, cribriform, garble","†cribellum","sieve"
"crimin-","criminal, criminality, criminate, incriminate, recriminate, recrimination","crimen",""
"crīn-","crinel, crinigerous, crinite, crinoline, crinose, crinosity","crīnis","hair"
"crisp-","crape, crepe, crêpe, crisp, crispate, crispation","crispus","curled"
"crist-","crease, crest, cristate","crista","crest"
"crur-","bicrural, crural, crus, equicrural","crus","leg, shank"
"crust-","crostata, croustade, croûte, crouton, crust, crustacean, crustaceous, crustal, crustation, crustific, crustose, custard, duricrust, encrust, encrustation, incrust, incrustation","crusta",""
"cruc-","crucial, cruciate, crucifer, cruciferous, crucifix, crucifixion, cruciform, crucify, crucigerous, crusade, cruzeiro, discruciate, excruciate","crux","cross"
"cucull-","cowl, cucullate","cucullus","hood"
"cucul-","cuculiform","cuculus","cuckoo"
"cucurbit-","cucurbit, Cucurbita, cucurbitaceous","cucurbita","gourd"
"culcit-","quilt","culcita",""
"culic-","Culex, culiciform, culicifuge, culicine, Culicivora","culex","gnat"
"culin-","culinarian, culinary, kiln","culina","kitchen"
"culp-","culpability, culpable, culprit, exculpate, exculpatory, inculpable, inculpate, inculpatory, mea culpa","culpa","blame, fault"
"cultr-","colter, coulter, cultellus, cutlass","culter",""
"cultell-","colter, coulter, cultellus, cutlass","†cultellus",""
"cul-","culet, culottes, recoil","cūlus",""
"cumul-","accumulate, accumulation, accumulator, cumulate, cumulative, cumulativity, cumuliform, cumulose, cumulous, cumulus","cumulus",""
"cūn-","cunabula, incunable, incunabula, incunabular, incunabulum","cūnae","cradle"
"cune-","coign/coigne, coin, cuneate, cuneiform, cuneus, encoignure, obcuneate, precuneus, quoin, sconcheon/scuncheon","cuneus","wedge"
"cūp-","cooper, cooperage, cup, cupel, cupellation, cupola, cupule","cūpa",""
"cūpell-","cooper, cooperage, cup, cupel, cupellation, cupola, cupule","†cūpella",""
"cūpul-","cooper, cooperage, cup, cupel, cupellation, cupola, cupule","†cūpula",""
"cur-","accuracy, accurate, assecure, assurance, assure, curable, curate, curative, curator, cure, curettage, curette, curio, curiosity, curious, ensure, inaccurate, incurable, insecure, insecurity, insurability, insurable, insurance, insure, pococurante, proctor, proctorage, procurable, procuracy, procuration, procurator, procure, procurement, proxy, reassurance, reassure, reinsurance, reinsure, scour, scourage, secure, security, sinecural, sinecure, sure, surety","cura","care"
"curr-","corral, curule","currus","chariot"
"curt-","curt, curtail, curtate, decurt","curtus","shortened"
"curv-","curb, curvate, curvation, curvature, curve, curviform, curvilinear, curvity, incurvate, incurvature, incurve, recurvate, recurve, recurvous","curvus","bent"
"cuspid-","bicuspid, bicuspidate, cusp, quadricuspid, tricuspid","cuspis","tip"
"custod-","custodial, custodian, custody, noncustodial","custos",""
"cut-","cutaneous, cuticle, cuticolor, cuticular, cutin, cutis, cutisector, subcutaneous","cutis","hide, skin"
"cuticul-","cutaneous, cuticle, cuticolor, cuticular, cutin, cutis, cutisector, subcutaneous","†cuticula","hide, skin"
"damn- -demn-","condemn, condemnation, damage, damnation, damnific, damnify, indemnification, indemnify, indemnity","damnum","harm"
"decem-","December, decemfid, decempedal, decemvirate, decemviri, decennial, decennium, decurion, decurionate, decury","decem","ten"
"decim-","decimal, decimate, decimation, dime","decimus","tenth"
"decor-","decor, décor, decorament, decorate, decoration, decorative, decorator, decorous, decorum, redecorate","decus",""
"den-","denar, denarian, denarius, denary, denier, dinar, dinero, dinheiro","deni","ten each"
"dent-","bident, bidental, dental, dentate, denticity, denticle, denticulate, dentiferous, dentiform, dentifrice, dentil, dentin, dentinal, dentition, denture, indent, indentation, indenture, interdental, intradental, multidentate, quadridentate, trident, tridentate","dens","tooth"
