"Added","Removed"
"Accenture plc","Marshall & Iisley Corp."
"Marathon Petroleum Corp","RadioShack Corp."
"Alpha Natural Resources, Inc.","Massey Energy Company"
"Chipotle","Novell, Inc."
"BlackRock","Genzyme Corp."
"Edwards Lifesciences","Qwest Communications"
"Covidien Plc","McAfee Inc."
"Joy Global Inc.","Allegheny Energy Inc."
"Cablevision Systems Corp.","King Pharmaceuticals Inc."
"F5 Networks Inc.","Eastman Kodak Co."
"Netflix Inc.","Office Depot Inc."
"Newfield Exploration Co.","The New York Times Co."
"Tyco International Ltd.","Smith International Inc."
"Ace Limited","Millipore Inc."
"QEP Resources","Questar Corp."
"CarMax, Inc.","XTO Energy Inc."
"Cerner Corp.","BJ Services Company"
"Priceline.com","Schering-Plough Corp."
"Airgas Inc","Cooper Industries Ltd."
"Lorillard Inc.","Ambac Financial"
"Range Resources","Tribune Co."
"Jacobs Engineering Group","Avaya Inc."
"AvalonBay Communities, Inc.","Symbol Technologies"
"Intuit","Bethlehem Steel"
"Symbol Technologies","Owens-Illinois"
"Allegheny Energy","W.R. Grace"
"Ambac Financial","Crown Holdings"
