"Title","Genre","Publisher(s)","Developer(s)"
"Test Drive Off-Road Wide Open","","Infogrames, Inc.","Angel Studios"
"Tetris Worlds","","THQ","Radical Entertainment"
"Tetris Worlds (Online Edition)","","THQ","Radical Entertainment"
"Thief: Deadly Shadows","","Eidos Interactive","Ion Storm Inc."
"Thing !The Thing","","VU Games","Computer Artworks"
"Thousand Land","","FromSoftware","FromSoftware"
"Thrillville","","LucasArts","Frontier Developments"
"Tiger Woods PGA Tour 2003","","EA Games","EA Sports"
"Tiger Woods PGA Tour 2004","","EA Games","EA Sports"
"Tiger Woods PGA Tour 2005","","EA Games","EA Sports"
"Tiger Woods PGA Tour 2006 !Tiger Woods PGA Tour 06","","EA Games","EA Sports"
"Tiger Woods PGA Tour 2007 !Tiger Woods PGA Tour 07","","EA Games","EA Sports"
"Tim Burton's The Nightmare Before Christmas: Oogie's Revenge","","Buena Vista Games","Capcom"
"TimeSplitters 2","","Eidos Interactive","Free Radical"
"TimeSplitters: Future Perfect","","EA Games","Free Radical"
"TOCA Race Driver 2: The Ultimate Racing Simulator","","Codemasters","Codemasters"
"TOCA Race Driver 3","","Codemasters","Codemasters"
"ToeJam & Earl III: Mission to Earth","","Sega","ToeJam & Earl Productions"
"Tom and Jerry in War of the Whiskers","","NewKidCo","VIS Entertainment"
"Tom Clancy's Classic Trilogy","","Ubisoft","Ubisoft"
"Tom Clancy's Ghost Recon","","Ubisoft","Red Storm Entertainment"
"Tom Clancy's Ghost Recon 2","","Ubisoft","Red Storm Entertainment"
"Tom Clancy's Ghost Recon 2: Summit Strike","","Ubisoft","Red Storm Entertainment"
"Tom Clancy's Ghost Recon: Advanced Warfighter","","Ubisoft","Ubisoft"
"Tom Clancy's Ghost Recon: Island Thunder","","Ubisoft","Red Storm Entertainment"
"Tom Clancy's Rainbow Six 3","","Ubisoft","Ubisoft"
"Tom Clancy's Rainbow Six 3: Black Arrow","","Ubisoft","Ubisoft"
"Tom Clancy's Rainbow Six: Critical Hour","","Ubisoft","Ubisoft Quebec, Red Storm Entertainment"
"Tom Clancy's Rainbow Six: Lockdown","","Ubisoft","Red Storm Entertainment"
"Tom Clancy's Splinter Cell","","Ubisoft","Ubisoft Montreal"
"Tom Clancy's Splinter Cell: Chaos Theory","","Ubisoft","Ubisoft Montreal, Ubisoft Annecy"
"Tom Clancy's Splinter Cell: Double Agent","","Ubisoft","Ubisoft"
"Tom Clancy's Splinter Cell: Pandora Tomorrow","","Ubisoft","Ubisoft"
"Tomb Raider: Legend","","Eidos Interactive","Crystal Dynamics"
"Tony Hawk's American Wasteland","","Activision","Neversoft"
"Tony Hawk's Pro Skater 2x","","Activision","Neversoft"
"Tony Hawk's Pro Skater 3","","Activision","Neversoft"
"Tony Hawk's Pro Skater 4","","Activision","Neversoft"
"Tony Hawk's Project 8","","Activision","Shaba Games"
"Tony Hawk's Underground","","Activision","Neversoft"
"Tony Hawk's Underground 2","","Activision","Neversoft"
"Top Gear RPM Tuning RPM Tuning(EUR)","","MC2 France","Babylon Software"
"Top Spin Tennis","","Microsoft Game Studios","PAM Development"
"Torino 2006","","2K Games","49 Games"
"Tork: Prehistoric Punk","","Ubisoft","Tiwak"
"Total Club Manager 2004","","EA Sports","EA Canada"
"Total Club Manager 2005","","EA Sports","EA Canada"
"Total Immersion Racing","","Empire Interactive","Razorworks"
"Total Overdose: A Gunslinger's Tale in Mexico","","Eidos Interactive","Deadline Games"
"Totaled!","","Majesco Games","Rage Software"
"Touge R","","Atlus","Cave, Nextech"
"Tour de France","","Konami","Konami"
"Toxic Grind","","THQ","Blue Shift"
"TransWorld Snowboarding","","Atari","Housemarque"
"TransWorld Surf","","Infogrames, Inc.","Angel Studios"
"Triangle Again","","",""
"Triangle Again 2","","",""
"Trigger Man","","Crave Entertainment","Point of View"
"Triple Play 2002","","EA Games","Pandemic Studios"
"Trivial Pursuit Unhinged","","Atari","Artech Studios"
"Tron 2.0 Killer App","","Buena Vista Interactive","Climax Group"
"True Crime: New York City","","Activision","Luxoflux"
"True Crime: Streets of LA","","Activision","Luxoflux"
"Turok: Evolution","","Acclaim","Acclaim"
"Ty the Tasmanian Tiger","","EA Games","Krome Studios"
"Ty the Tasmanian Tiger 2: Bush Rescue","","EA Games","Krome Studios"
"Ty the Tasmanian Tiger 3: Night of the Quinkan","","Activision Value","Krome Studios"
"UEFA Champions League 2004-2005","","EA Games","EA Games"
"UEFA Euro 2004","","EA Games","EA Canada"
"UFC: Tapout","","Crave Entertainment","DreamFactory"
"UFC: Tapout 2","","TDK Mediactive","DreamFactory"
"Ultimate Beach Soccer","","DreamCatcher Interactive","PAM Development"
"Ultimate Pro Pinball","","Empire Interactive","Atomic Planet Entertainment"
"Ultimate Spider-Man","","Activision","Treyarch"
"Ultra Bust-a-Move Ulrta Puzzle Bobble","","Majesco Games","Taito Corporation"
"Umezawa Yukari no Igo Seminar","Tabletop game","Success","Success"
"Unreal Championship","","Atari","Digital Extremes"
"Unreal Championship 2: The Liandri Conflict","","Midway Games","Epic Games"
"Unreal II: The Awakening","","Atari","Tantalus Interactive"
"Urban Chaos: Riot Response","","Eidos Interactive","Rocksteady Studios"
"Urbz: Sims in the City !The Urbz: Sims in the City","","EA Games","Maxis"
"V-Rally 3","","Atari","Eden Studios"
"Van Helsing","","VU Games","Saffire"
"Vexx","","Acclaim","Acclaim"
"Vietcong: Purple Haze","","Gathering","Coyote"
"Virtual Pool: Tournament Edition","","Global Star Software","Celeris"
"Volvo: Drive For Life","","Microsoft Game Studios","Climax Group"
"Voodoo Vince","","Microsoft Game Studios","Beep Industries"
"Wakeboarding Unleashed","","Activision","Shaba Games"
"Wallace & Gromit in Project Zoo","","BAM! Entertainment","Frontier Developments"
"Wallace & Gromit: The Curse of the Were-Rabbit","","Konami","Frontier Developments"
"Warpath","","Groove Games","Digital Extremes"
"Warriors !The Warriors","","Rockstar Games","Rockstar Toronto"
"Whacked!","","Microsoft Game Studios","Presto Studios"
"Whiplash","","Eidos Interactive","Crystal Dynamics"
"Whiteout","","Konami","Konami"
"Wild Rings !The Wild Rings","","Microsoft Game Studios","Microsoft Game Studios"
"WinBack 2: Project Poseidon","","Koei","Cavia Inc."
"Wings of War","","Gathering","Silver Wish Games"
"Without Warning","","Capcom","CiRCLE"
"World Championship Poker","","Crave Entertainment","Crave Entertainment"
"World Championship Poker 2: Featuring Howard Lederer","","Crave Entertainment","Crave Entertainment"
"World Championship Pool 2004","","Jaleco Entertainment","Blade Interactive"
"World Championship Rugby","","Acclaim","Swordfish Studios"
"World Championship Snooker 2003","","Codemasters","Blade Interactive"
"World Championship Snooker 2004","","Codemasters","Blade Interactive"
"World Poker Tour","","2K Sports","Coresoft"
"World Racing","","TDK Mediactive","Synetic"
"World Racing 2","","Evolved Games","Synetic"
"World Series Baseball","","Sega","Blueshift"
"World Series Baseball 2K3","","Sega","Blueshift"
"World Series of Poker","","Activision Value","Activision Value"
"World Snooker Championship 2005","","Sega Europe","Blade Interactive"
"World Soccer Winning Eleven 8 International Pro Evolution Soccer 4 (PAL) Winning Eleven 8(JP)","","Konami","KCET"
"World Soccer Winning Eleven 9 Pro Evolution Soccer 5 (PAL) Winning Eleven 9 (JP)","","Konami","KCET"
"World War II Combat: Iwo Jima","","Groove Games","Direct Action"
"World War II Combat: Road to Berlin","","Groove Games","Direct Action"
"Worms 3D","","Sega","Team17"
"Worms 4: Mayhem","","Codemasters & Majesco Games","Team17"
"Worms Forts: Under Siege","","Sega","Team17"
"Wrath Unleashed","","LucasArts","The Collective"
"Wreckless: The Yakuza Missions Double-S.T.E.A.L.","","Activision","Bunkasha Publishing"
"WTA Tour Tennis","","Konami","Konami"
"WWE Raw 2","","THQ","Anchor"
"WWE WrestleMania 21","","THQ","Studio Gigante"
"WWF RAW","","THQ","Anchor"
"Xbox Live Arcade","","",""
"Xbox Live Video Chat","","",""
"X-Men Legends","","Activision","Raven Software"
"X-Men Legends II: Rise of Apocalypse","","Activision","Raven Software"
"X-Men: Next Dimension","","Activision","Paradox Development"
"X-Men: The Official Game","","Activision","Z-Axis, Ltd."
"X2: Wolverine's Revenge","","Activision","GenePool Software"
"Xbox Music Mixer","","Microsoft Game Studios","WildTangent"
"XGRA","","Acclaim","Acclaim"
"Xiaolin Showdown","","Konami","BottleRocket"
"XIII","","Ubisoft","Ubisoft"
"Xyanide","","Playlogic","Playlogic"
"Yager","","Kemco","Yager Development"
"Yetisports Arctic Adventure","","JoWood Productions","JoWood Productions"
"Yonenaga Kunio no Shougi Seminar","Tabletop game","Success","Success"
"Yourself!Fitness","","Respondesign","Respondesign"
"Yu-Gi-Oh! The Dawn of Destiny","","Konami","KCEJ"
"Zapper","","Atari","Blitz Games"
"Zathura","","2K Games","High Voltage Software"
"ZillerNet","Karaoke","Microsoft Game Studios","Studio9, Taijin Media"
